abelmoschus esculentus; hibiscus esculentus,malvaceae,ABEESC,non-native,0,2,forb,annual,okra
abelmoschus esculentus; hibiscus esculentus,malvaceae,HIBESC,non-native,0,2,forb,annual,okra
abutilon theophrasti,malvaceae,ABUTHE,non-native,0,1,forb,annual,velvetleaf
acalypha gracilens,euphorbiaceae,ACAGRA,native,7,1,forb,annual,slender three-seed-mercury; slender mercury
acalypha rhomboidea,euphorbiaceae,ACARHO,native,0,1,forb,annual,common three-seed-mercury; three-seeded mercury
acalypha virginica,euphorbiaceae,ACAVIR,non-native,0,1,forb,annual,virginia three-seed-mercury; virginia mercury
acanthopanax sieboldianus; ,araliaceae,ACASIE,non-native,0,2,shrub,perennial,palmate hercules club; 
acer campestre; ,aceraceae,ACECAM,non-native,0,2,tree,perennial,hedge maple; 
acer ginnala,aceraceae,ACEGIN,non-native,0,2,tree,perennial,amur maple
acer negundo; acer negundo var. violaceum,aceraceae,ACENEG,native,0,0,tree,perennial,ash-leaf maple; box elder
acer negundo; acer negundo var. violaceum,aceraceae,ACENEGV,native,0,0,tree,perennial,ash-leaf maple; box elder
acer nigrum,aceraceae,ACENIG,native,5,1,tree,perennial,black maple
acer platanoides,aceraceae,ACEPLA,non-native,0,2,tree,perennial,norway maple
acer pseudoplatanus,aceraceae,ACEPSE,non-native,0,2,tree,perennial,sycamore maple
acer rubrum,aceraceae,ACERUB,native,7,0,tree,perennial,red maple
acer saccharinum,aceraceae,ACESAI,native,0,-1,tree,perennial,silver maple
acer saccharum,aceraceae,ACESAU,native,3,1,tree,perennial,sugar maple
achillea millefolium,asteraceae,ACHMIL,non-native,0,1,forb,perennial,common yarrow; yarrow
achillea ptarmica,asteraceae,ACHPTA,non-native,0,2,forb,perennial,pearl yarrow; sneezewort
aconitum uncinatum,ranunculaceae,ACOUNC,non-native,0,2,forb,perennial,wild monkshood; monkshood
acorus americanus; ,acoraceae,ACOAME,native,7,-2,forb,perennial,several-vein sweetflag; sweet flag
acorus calamus,acoraceae,ACOCAL,non-native,0,-2,forb,perennial,single-vein sweetflag; sweet flag
acroptilon repens; centaurea repens,asteraceae,ACRREP,non-native,0,2,forb,perennial,russian knapweed
acroptilon repens; centaurea repens,asteraceae,CENREP,non-native,0,2,forb,perennial,russian knapweed
actaea pachypoda,ranunculaceae,ACTPAC,native,7,1,forb,perennial,white baneberry
actaea rubra,ranunculaceae,ACTRUB,native,10,1,forb,perennial,red baneberry
actaea rubra ssp. arguta; actaea rubra,ranunculaceae,ACTRUBA,native,10,1,forb,perennial,red baneberry
actaea rubra ssp. rubra; actaea rubra,ranunculaceae,ACTRUBR,native,10,1,forb,perennial,red baneberry
adiantum pedatum,pteridaceae,ADIPED,native,10,1,fern,perennial,northern maidenhair; maidenhair fern
adlumia fungosa,fumariaceae,ADLFUN,native,10,2,forb,biennial,climbing fumitory; allegheny vine
aegilops cylindrica,poaceae,AEGCYL,non-native,0,2,grass,annual,jointed goat grass
aegopodium podagraria,apiaceae,AEGPOD,non-native,0,0,forb,perennial,bishops goutweed; goutweed
aesculus glabra,hippocastanaceae,AESGLA,native,3,0,tree,perennial,ohio buckeye
aesculus hippocastanum,hippocastanaceae,AESHIP,non-native,0,2,tree,perennial,horse chestnut
aethusa cynapium,apiaceae,AETCYN,non-native,0,2,forb,annual,fools parsley; fools parsley
agalinis aspera,scrophulariaceae,AGAASP,native,10,1,forb,annual,tall false foxglove; rough false foxglove
agalinis gattingeri,scrophulariaceae,AGAGAT,native,10,2,forb,annual,gattingers false foxglove; round-stemmed false foxglove
agalinis paupercula; ,scrophulariaceae,AGAPAU,native,7,-2,forb,annual,small-flower false foxglove; purple false foxglove
