Acalypha gracilens,1620167
Acalypha rhomboidea,32204
Acer negundo,4023
Acer nigrum,291207
Acer rubrum,45314
Acer saccharinum,75745
Acer saccharum,4024
Acorus americanus,263995
Actaea pachypoda,64023
Actaea rubra,64024
Adiantum pedatum,29590
Adlumia fungosa,54423
Aesculus glabra,322042
Agalinis aspera,not found
Agalinis gattingeri,546846
Agalinis paupercula,546853
Agalinis purpurea,374692
Agalinis skinneriana,546854
Agalinis tenuifolia,282244
Agastache nepetoides,672814
Agastache scrophulariaefolia,672816
Ageratina altissima,102750
Agrimonia gryposepala,932091
Agrimonia parviflora,32217
Agrimonia pubescens,not found
Agrimonia rostellata,not found
Agrimonia striata,1503866
Agrostis hyemalis,481245
Agrostis perennans,568787
Agrostis scabra,345920
Agrostis stolonifera,63632
Aletris farinosa,167569
Alisma subcordatum,365733
Alisma triviale,365734
Allium burdickii,not found
Allium canadense,472403
Allium cernuum,70754
Allium stellatum,74901
Allium tricoccum,138334
Alnus incana,3516
Alnus serrulata,253219
Alopecurus aequalis,114194
Alopecurus carolinianus,not found
Amaranthus hybridus,3565
Amaranthus tuberculatus,277990
Ambrosia artemisiifolia,4212
Ambrosia trifida,4214
Amelanchier arborea,52521
Amelanchier canadensis,52523
Amelanchier humilis,52529
Amelanchier interior,1143211
Amelanchier laevis,52531
Amelanchier sanguinea,52536
Ammannia robusta,1441980
Ammophila breviligulata,286491
Amorpha canescens,252450
Amorpha fruticosa,48131
Amphicarpaea bracteata,45679
Andromeda polifolia,95630
Andropogon gerardii,79824
Androsace occidentalis,522403
Anemone canadensis,167997
Anemone caroliniana,174160
Anemone cylindrica,1077387
Anemone patens,387931
Anemone quinquefolia,46976
Anemone virginiana,168008
Angelica atropurpurea,1405025
Antennaria neglecta,49063
Antennaria plantaginifolia,49065
Anticlea elegans,164833
Apios americana,185702
Aplectrum hyemale,48520
Apocynum androsaemifolium,61254
Apocynum cannabinum,13339
Apocynum x,not found
Aquilegia canadensis,46964
Arabidopsis lyrata,59689
Arabis pycnocarpa,571367
Aralia hispida,51236
Aralia nudicaulis,45207
Aralia racemosa,45208
Arctostaphylos uva-ursi,84009
Arethusa bulbosa,78701
Argentina anserina,57926
Arisaema dracontium,227496
Arisaema triphyllum,78371
Aristida dichotoma,348198
Aristida intermedia,not found
Aristida longespica,348219
Aristida oligantha,348227
Aristida purpurascens,348235
Aristida tuberculosa,348269
Arnoglossum atriplicifolium,422314
Arnoglossum plantagineum,462386
Arnoglossum reniforme,not found
Aronia prunifolia,193298
Artemisia caudata,1027776
Artemisia serrata,200864
Aruncus dioicus,32220
Asarum canadense,28498
Asclepias amplexicaulis,659936
Asclepias exaltata,28506
Asclepias incarnata,330158
Asclepias lanuginosa,1549866
Asclepias longifolia,397860
Asclepias meadii,659976
Asclepias ovalifolia,659986
Asclepias perennis,528296
Asclepias purpurascens,528298
Asclepias sullivantii,528302
Asclepias syriaca,48545
Asclepias tuberosa,141466
Asclepias verticillata,528305
Asclepias viridiflora,528306
Asimina triloba,12953
Asplenium platyneuron,210162
Asplenium rhizophyllum,244004
Astragalus canadensis,20408
Astragalus neglectus,90195
Astragalus tennesseensis,not found
Athyrium filix-femina,32110
Aureolaria flava,1620021
Aureolaria grandiflora,1548296
Aureolaria pedicularia,282246
Aureolaria virginica,not found
Azolla cristata,1131306
Baptisia alba,313911
Baptisia bracteata,313912
Baptisia tinctoria,49797
Bartonia virginica,84868
Beckmannia syzigachne,368345
Berberis canadensis,258147
Berula erecta,54827
Besseya bullii,264893
Betula alleghaniensis,21017
Betula nigra,3508
Betula papyrifera,3507
Betula populifolia,216989
Betula pumila,284674
Bidens aristosa,1552225
Bidens beckii,51263
Bidens cernua,51265
Bidens discoidea,1567017
Bidens frondosa,51269
Bidens trichosperma,278099
Bidens tripartita,51276
Bidens vulgata,not found
Blephilia ciliata,182369
Blephilia hirsuta,182370
Boechera canadensis,347886
Boechera grahamii,1539861
Boechera laevigata,359822
Boechera missouriensis,486128
Boechera shortii,258509
Boechera stricta,72658
Boehmeria cylindrica,1503867
Boltonia asteroides,72904
Botrychium campestre,41918
Botrychium dissectum,93613
Botrychium matricariifolium,41915
Botrychium multifldum,not found
Botrychium simplex,41931
Botrychium virginianum,167744
Bouteloua curtipendula,110875
Bouteloua hirsuta,253226
Brachyelytrum erectum,38700
Brasenia schreberi,4424
Brickellia eupatorioides,102754
Bromus ciliatus,254123
Bromus kalmii,254131
Bromus latiglumis,254136
Bromus pubescens,254147
Buchnera americana,1325706
Bulbostylis capillaris,not found
Cakile edentula,349956
Calamagrostis canadensis,52148
Calamagrostis stricta,497295
Calamovilfa longifolia,33108
Calla palustris,45007
Callirhoe triangulata,not found
Callitriche heterophylla,13381
Callitriche palustris,669641
Calopogon oklahomensis,160949
Calopogon tuberosus,78712
Caltha palustris,3449
Calylophus serrulatus,not found
Calystegia sepium,47519
Calystegia spithamaea,1428840
Camassia scilloides,39524
Campanula aparinoides,428155
Campanula rotundifolia,239422
Campanulastrum americanum,239430
Cardamine bulbosa,109593
Cardamine concatenata,109596
Cardamine diphylla,109597
Cardamine douglassii,558114
Cardamine parviflora,352371
Cardamine pensylvanica,65946
Cardamine pratensis,50465
Carex abdita,not found
Carex aggregata,432975
Carex alata,314396
Carex albicans,69846
Carex albolutescens,314397
Carex albursina,312728
Carex alopecoidea,432976
Carex amphibola,330162
Carex annectens,432977
Carex aquatilis,140788
Carex arctata,69847
Carex argyrantha,314399
Carex atherodes,912382
Carex atlantica,432979
Carex aurea,140789
Carex bebbii,314400
Carex bicknellii,140791
Carex blanda,69851
Carex brevior,314401
Carex bromoides,240666
Carex brunnescens,240691
Carex buxbaumii,241202
Carex canescens,140796
Carex careyana,69852
Carex cephaloidea,312731
Carex cephalophora,100277
Carex chordorrhiza,240692
Carex communis,140800
Carex comosa,312735
Carex conjuncta,432985
Carex conoidea,653368
Carex crawei,912406
Carex crawfordii,314409
Carex crinita,312737
Carex cristatella,314410
Carex crus-corvi,312738
Carex cryptolepis,483227
Carex cumulata,314411
Carex davisii,912412
Carex debilis,140802
Carex deweyana,69854
Carex diandra,140803
Carex digitalis,140804
Carex disperma,312740
Carex eburnea,140807
Carex echinata,234467
Carex emmonsii,not found
Carex emoryi,657472
Carex festucacea,314419
Carex flava,140816
Carex folliculata,312743
Carex formosa,912429
Carex frankii,912430
Carex garberi,912431
Carex gracilescens,912437
Carex gracillima,140820
Carex granularis,418164
Carex gravida,472443
Carex grayi,100279
Carex grisea,653373
Carex haydenii,314425
Carex hirsutella,912445
Carex hirtifolia,312746
Carex hitchcockiana,312747
Carex hystericina,312748
Carex interior,203791
Carex intumescens,312749
Carex jamesii,69870
Carex lacustris,912454
Carex laeviconica,912455
Carex laevivaginata,312750
Carex lasiocarpa,241213
Carex laxiculmis,912457
Carex laxiflora,69859
Carex leptalea,100281
Carex leptonervia,912462
Carex limosa,140829
Carex longii,314432
Carex lupuliformis,912466
Carex lupulina,140830
Carex lurida,140831
Carex meadii,912471
Carex molesta,314438
Carex muehlenbergii,312756
Carex muskingumensis,240673
Carex nigromarginata,247934
Carex normalis,314441
Carex oligocarpa,312758
Carex oligosperma,312759
Carex pallescens,140842
Carex pauciflora,140843
Carex peckii,69861
Carex pedunculata,140846
Carex pellita,912486
Carex pensylvanica,69862
Carex plantaginea,69863
Carex platyphylla,912492
Carex prairea,314456
Carex prasina,140851
Carex projecta,312761
Carex pseudocyperus,241227
Carex radiata,312763
Carex retrorsa,312764
Carex richardsonii,912499
Carex rosea,312766
Carex rugosperma,69865
Carex sartwellii,314462
Carex scabrata,312767
Carex scoparia,314463
Carex seorsa,433008
Carex shortiana,312769
Carex siccata,240668
Carex sparganioides,418181
Carex sprengelii,912512
Carex squarrosa,312770
Carex sterilis,433011
Carex stipata,240665
Carex straminea,314471
Carex stricta,301498
Carex suberecta,314474
Carex swanii,312772
Carex tenera,314416
Carex tenuiflora,312774
Carex tetanica,912518
Carex tonsa,299770
Carex torreyi,140860
Carex torta,140861
Carex tribuloides,312775
Carex trichocarpa,312776
Carex trisperma,312777
Carex tuckermanii,312778
Carex typhina,140862
Carex utriculata,912523
Carex vesicaria,241236
Carex virescens,312780
Carex viridula,241237
Carex vulpinoidea,140866
Carex woodii,912529
Carex x,not found
Carpinus caroliniana,12991
Carya cordiformis,139928
Carya laciniosa,1370058
Carya ovalis,13403
Carya ovata,60418
Carya tomentosa,91227
Castilleja coccinea,374697
Castilleja sessiliflora,1229048
Caulophyllum thalictroides,46963
Ceanothus americanus,54778
Ceanothus herbaceus,73683
Celastrus scandens,123407
Celtis occidentalis,228587
Celtis tenuifolia,not found
