Abelmoschus esculentus,455045
Abutilon theophrasti,3631
Acalypha gracilens,1620167
Acalypha rhomboidea,32204
Acalypha virginica,not found
Acanthopanax sieboldianus,257409
Acer campestre,66205
Acer ginnala,57656
Acer negundo,4023
Acer nigrum,291207
Acer platanoides,4025
Acer pseudoplatanus,4026
Acer rubrum,45314
Acer saccharinum,75745
Acer saccharum,4024
Achillea millefolium,13329
Achillea ptarmica,133233
Aconitum uncinatum,not found
Acorus americanus,263995
Acorus calamus,4465
Acroptilon repens,41466
Actaea pachypoda,64023
Actaea rubra,64024
Adiantum pedatum,29590
Adlumia fungosa,54423
Aegilops cylindrica,130456
Aegopodium podagraria,40902
Aesculus glabra,322042
Aesculus hippocastanum,43364
Aethusa cynapium,40954
Agalinis aspera,not found
Agalinis gattingeri,546846
Agalinis paupercula,546853
Agalinis purpurea,374692
Agalinis skinneriana,546854
Agalinis tenuifolia,282244
Agastache nepetoides,672814
Agastache scrophulariaefolia,672816
Ageratina altissima,102750
Agrimonia gryposepala,932091
Agrimonia parviflora,32217
Agrimonia pubescens,not found
Agrimonia rostellata,not found
Agrimonia striata,1503866
Agropyron cristatum,4593
Agropyron desertorum,382394
Agrostemma githago,39848
Agrostis capillaris,204232
Agrostis gigantea,345916
Agrostis hyemalis,481245
Agrostis perennans,568787
Agrostis scabra,345920
Agrostis stolonifera,63632
Ailanthus altissima,23810
Aira caryophyllea,336211
Ajuga genevensis,not found
Ajuga reptans,38596
Akebia quinata,13331
Alcea rosea,65557
Aletris farinosa,167569
Alisma subcordatum,365733
Alisma triviale,365734
Alliaria petiolata,126270
Allium burdickii,not found
Allium canadense,472403
Allium cepa,4679
Allium cernuum,70754
Allium flstulosum,not found
Allium mutabile,not found
Allium sativum,4682
Allium schoenoprasum,74900
Allium stellatum,74901
Allium tricoccum,138334
Allium vineale,1053326
Alnus glutinosa,3517
Alnus incana,3516
Alnus serrulata,253219
Alopecurus aequalis,114194
Alopecurus carolinianus,not found
Alopecurus geniculatus,114195
Alopecurus pratensis,15304
Althaea officinalis,145745
Alyssum alyssoides,169068
Amaranthus albus,124760
