taxon,ITS,
Abelmoschus esculentus,KC404826.1,
Abutilon theophrasti,DQ006017.1,
Acalypha gracilens,,
Acalypha rhomboidea,DQ006003.1,
Acalypha virginica,,
Acanthopanax sieboldianus,KJ170230.1,
Acer campestre,LK022620.1,
Acer ginnala,AM113524.1,
Acer negundo,AY605406.1,
Acer nigrum,AY605324.1,
Acer platanoides,DQ238461.1,
Acer pseudoplatanus,AY605341.1,
Acer rubrum,AY605460.1,
Acer saccharinum,AM113537.1,
Acer saccharum,DQ366139.1,
Achillea millefolium,JQ230971.1,
Achillea ptarmica,AY603248.1,
Aconitum uncinatum,,
Acorus americanus,FJ497031.1,
Acorus calamus,DQ008852.1,
Acroptilon repens,EU409919.1,
Actaea pachypoda,Z98277.1,
Actaea rubra,Z98278.1,
Adiantum pedatum,,
Adlumia fungosa,HE603323.1,
Aegilops cylindrica,FR716087.1,
Aegopodium podagraria,JQ792200.1,
Aesculus glabra,EU687671.1,
Aesculus hippocastanum,,
Aethusa cynapium,GQ862376.1,
Agalinis aspera,,
Agalinis gattingeri,EU827823.1,
Agalinis paupercula,EU827853.1,
Agalinis purpurea,EU827861.1,
Agalinis skinneriana,EU827865.1,
Agalinis tenuifolia,EU827875.1,
Agastache nepetoides,GQ456135.1,
Agastache scrophulariaefolia,GQ456138.1,
Ageratina altissima,,
Agrimonia gryposepala,,
Agrimonia parviflora,AY634863.1,
Agrimonia pubescens,,
Agrimonia rostellata,,
Agrimonia striata,,
Agropyron cristatum,GQ373309.1,
Agropyron desertorum,,
Agrostemma githago,JN589107.1,
Agrostis capillaris,FJ042824.1,
Agrostis gigantea,KM999957.1,
Agrostis hyemalis,HQ600526.1,
Agrostis perennans,,
Agrostis scabra,DQ146776.1,
Agrostis stolonifera,KM999958.1,
Ailanthus altissima,KM051450.1,
Aira caryophyllea,HQ600554.1,
Ajuga genevensis,,
Ajuga reptans,JN575347.1,
Akebia quinata,JF980311.1,
Alcea rosea,EF679714.1,
Aletris farinosa,,
Alisma subcordatum,DQ339084.1,
Alisma triviale,DQ339086.1,
Alliaria petiolata,,
Allium burdickii,,
Allium canadense,KC119642.1,
Allium cepa,FJ664287.1,
Allium cernuum,KC119643.1,
Allium flstulosum,,
Allium mutabile,,
Allium sativum,EU626375.1,
Allium schoenoprasum,KF419377.1,
Allium stellatum,KC119693.1,
Allium tricoccum,KC119704.1,
Allium vineale,,
Alnus glutinosa,AJ251662.1,
Alnus incana,AJ251666.1,
Alnus serrulata,AY352322.1,
Alopecurus aequalis,KF713176.1,
Alopecurus carolinianus,,
Alopecurus geniculatus,DQ539571.1,
Alopecurus pratensis,HQ600523.1,
Althaea officinalis,EF679733.1,
Alyssum alyssoides,KF022521.1,
Amaranthus albus,JF975856.1,
Amaranthus arenicola,KC747407.1,
Amaranthus blitoides,KF385442.1,
Amaranthus caudatus,AF210907.1,
Amaranthus cruentus,AF210912.1,
Amaranthus hybridus,DQ005960.1,
Amaranthus hypochondriacus,KF385440.1,
Amaranthus palmeri,KF493822.1,
Amaranthus powellii,KF493812.1,
Amaranthus retroflexus,KF493829.1,
Amaranthus rudis,KF493840.1,
Amaranthus spinosus,KF493823.1,
Amaranthus tuberculatus,KF493840.1,
Amberboa moschata,L35883.1,
Ambrosia artemisiifolia,DQ005969.1,
Ambrosia psilostachya,,
Ambrosia tomentosa,,
Ambrosia trifida,DQ005970.1,
Amelanchier arborea,EF127041.1,
Amelanchier canadensis,JQ392363.1,
Amelanchier humilis,U83937.1,
Amelanchier interior,,
Amelanchier laevis,JQ392366.1,
Amelanchier sanguinea,JQ392360.1,
Ammannia robusta,,
Ammophila breviligulata,,
Amorpha canescens,AY426773.1,
Amorpha fruticosa,AY426774.1,
Ampelamus albidus,DQ005968.1,
Ampelopsis brevipedunculata,,
Amphiachyris dracunculoides,AF477627.1,
Amphicarpaea bracteata,AF417015.1,
Amsinckia menziesii,JQ513392.1,
Amsinckia spectabilis,JQ513393.1,
Anagallis arvensis,AF547709.1,
Anaphalis margaritacea,FN645827.1,
Anchusa offlcinalis,,
Andromeda polifolia,AF358872.1,
Andropogon gerardii,DQ005015.1,
Andropogon hallii,,
Andropogon virginicus,,
Androsace occidentalis,EU655563.1,
Anemone canadensis,AY055387.1,
Anemone caroliniana,AY055403.1,
Anemone cylindrica,JF422889.1,
Anemone patens,AM267280.1,
Anemone quinquefolia,GU257978.1,
Anemone virginiana,FJ639898.1,
Anethum graveolens,AY548225.1,
Angelica atropurpurea,,
Anoda cristata,,
Antennaria neglecta,,
Antennaria plantaginifolia,JX524602.1,
Anthemis arvensis,EU179214.1,
Anthemis cotula,EU179216.1,
Anthoxanthum odoratum,KC897918.1,
Anthriscus caucalis,,
Anthriscus cerefolium,DQ379384.1,
Anthriscus sylvestris,AY548228.1,
Anthyllis vulneraria,HM468330.1,
Anticlea elegans,AF303725.1,
Antirrhinum majus,AY591288.1,
Antirrhinum orontium,AF513889.1,
Apera interrupta,DQ539570.1,
Apios americana,KF272978.1,
Aplectrum hyemale,AY008468.1,
Apocynum androsaemifolium,,
Apocynum cannabinum,DQ005966.1,
Apocynum x,,
Aquilegia canadensis,U75656.1,
Aquilegia vulgaris,EU747245.1,
Arabidopsis lyrata,GQ922910.1,
Arabidopsis thaliana,LN610094.1,
Arabis pycnocarpa,KF547179.1,
Arachis hypogaea,FJ212319.1,
Aralia chinensis,U63181.1,
Aralia elata,JF980303.1,
Aralia hispida,,
Aralia nudicaulis,U41674.1,
Aralia racemosa,U41675.1,
Arctium lappa,GU724291.1,
Arctium minus,KC603906.1,
Arctium tomentosum,GQ281035.1,
Arctostaphylos uva-ursi,AF091950.1,
Arenaria serpyllifolia,AY438320.1,
Arethusa bulbosa,AF273338.1,
Argemone albiflora,JX078976.1,
Argemone mexicana,AY328303.1,
Argentina anserina,FN430824.1,
Arisaema dracontium,,
Arisaema triphyllum,KF977433.1,
Aristida basiramea,,
Aristida dichotoma,DQ171991.1,
Aristida intermedia,,
Aristida longespica,DQ172013.1,
Aristida oligantha,DQ172020.1,
Aristida purpurascens,DQ172028.1,
Aristida tuberculosa,DQ172062.1,
Armoracia rusticana,,
Arnoglossum atriplicifolium,EF538154.1,
Arnoglossum plantagineum,EF538155.1,
Arnoglossum reniforme,,
Aronia prunifolia,JQ392370.1,
Arrhenatherum elatius,AJ632187.1,
Artemisia abrotanum,EF577288.1,
Artemisia absinthium,EF577289.1,
Artemisia annua,AY548199.1,
Artemisia biennis,KC493084.1,
Artemisia carruthii,JX051722.1,
Artemisia caudata,JF326536.1,
Artemisia dracunculus,JX051718.1,
Artemisia frigida,HQ019046.1,
Artemisia ludoviciana,JX051708.1,
Artemisia serrata,JX051706.1,
Artemisia vulgaris,KC493070.1,
Aruncus dioicus,JQ041766.1,
Asarum canadense,FJ428645.1,
Asclepias amplexicaulis,,
Asclepias exaltata,,
Asclepias incarnata,DQ005967.1,
Asclepias lanuginosa,,
Asclepias longifolia,AM396889.1,
Asclepias meadii,,
Asclepias ovalifolia,,
Asclepias perennis,,
Asclepias purpurascens,,
Asclepias speciosa,,
Asclepias sullivantii,,
Asclepias syriaca,AM396892.1,
Asclepias tuberosa,EF590756.1,
Asclepias verticillata,,
Asclepias viridiflora,,
Asimina triloba,GQ139688.1,
Asparagus officinalis,HM990118.1,
Asperugo procumbens,JQ388496.1,
Asplenium platyneuron,,
Asplenium rhizophyllum,,
Astragalus agrestis,,
Astragalus canadensis,,
Astragalus cicer,JQ685633.1,
Astragalus crassicarpus,,
Astragalus distortus,,
Astragalus neglectus,AF121713.1,
Astragalus tennesseensis,,
Athyrium filix-femina,,
Atriplex argentea,,
Atriplex glabriuscula,HM587505.1,
Atriplex hortensis,HM005855.1,
Atriplex patula,HM005859.1,
Atriplex rosea,HM005858.1,
Aureolaria flava,,
Aureolaria grandiflora,,
Aureolaria pedicularia,EU827879.1,
Aureolaria virginica,,
Avena fatua,KF713179.1,
Avena sativa,EU833802.1,
Azolla cristata,JX297313.1,
Bacopa rotundifolia,,
Ballota nigra,JN680358.1,
Baptisia alba,AY773348.1,
Baptisia australis,AY091572.1,
Baptisia bracteata,AY773349.1,
Baptisia tinctoria,,
Barbarea verna,KC133365.1,
Barbarea vulgaris,X98632.1,
Bartonia virginica,EU812474.1,
Beckmannia syzigachne,EU792342.1,
Belamcanda chinensis,KP058312.1,
Bellis perennis,JN315918.1,
Berberis canadensis,KC575590.1,
Berberis thunbergii,KM668068.1,
Berberis vulgaris,KC575608.1,
Berteroa incana,AY254544.1,
Berula erecta,DQ005660.1,
Besseya bullii,AY483211.1,
Betula alleghaniensis,AY761100.1,
Betula nigra,AJ783646.1,
Betula papyrifera,AF432067.1,
Betula pendula,JN247411.1,
Betula populifolia,AJ783644.1,
Betula pumila,AJ783642.1,
Bidens aristosa,KM347903.1,
Bidens beckii,U67096.1,
Bidens bipinnata,KM347904.1,
Bidens cernua,U67098.1,
Bidens discoidea,KM347906.1,
Bidens frondosa,U67094.1,
Bidens trichosperma,,
Bidens tripartita,U67097.1,
Bidens vulgata,,
Blephilia ciliata,AF369167.1,
Blephilia hirsuta,JQ669077.1,
Boechera canadensis,JX146971.1,
Boechera grahamii,,
Boechera laevigata,DQ005987.1,
Boechera missouriensis,JX146968.1,
Boechera shortii,EU274846.1,
Boechera stricta,GQ166414.1,
Boehmeria cylindrica,,
Boltonia asteroides,AF046975.1,
Borago offlcinalis,,
Bothriochloa laguroides,DQ005026.1,
Botrychium campestre,,
Botrychium dissectum,,
Botrychium matricariifolium,,
Botrychium multifldum,,
Botrychium simplex,,
Botrychium virginianum,,
Bouteloua curtipendula,EF060131.1,
Bouteloua gracilis,EU144379.1,
Bouteloua hirsuta,EF060187.2,
Brachyelytrum erectum,EU489105.1,
