Abelmoschus esculentus,Hibiscus esculentus
Abutilon theophrasti
Acalypha gracilens
Acalypha rhomboidea
Acalypha virginica
Acanthopanax sieboldianus
Acer campestre
Acer ginnala
Acer negundo
Acer nigrum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Achillea millefolium
Achillea ptarmica
Aconitum uncinatum
Acorus americanus
Acorus calamus
Acroptilon repens,Centaurea repens
Actaea pachypoda
Actaea rubra
Adiantum pedatum
Adlumia fungosa
Aegilops cylindrica
Aegopodium podagraria
Aesculus glabra
Aesculus hippocastanum
Aethusa cynapium
Agalinis aspera
Agalinis gattingeri
Agalinis paupercula
Agalinis purpurea
Agalinis skinneriana
Agalinis tenuifolia
Agastache nepetoides
Agastache scrophulariaefolia
Ageratina altissima,Eupatorium rugosum
Agrimonia gryposepala
Agrimonia parviflora
Agrimonia pubescens
Agrimonia rostellata
Agrimonia striata
Agropyron cristatum
Agropyron desertorum
Agrostemma githago
Agrostis capillaris,Agrostis tenuis
Agrostis gigantea,Agrostis alba
Agrostis hyemalis
Agrostis perennans
Agrostis scabra
Agrostis stolonifera,Agrostis alba
Ailanthus altissima
Aira caryophyllea
Ajuga genevensis
Ajuga reptans
Akebia quinata
Alcea rosea,Althaea rosea
Aletris farinosa
Alisma subcordatum
Alisma triviale
Alliaria petiolata
Allium burdickii,Allium tricoccum
Allium canadense
Allium cepa
Allium cernuum
Allium flstulosum,Allium fistulosum
Allium mutabile
Allium sativum
Allium schoenoprasum
Allium stellatum
Allium tricoccum
Allium vineale
Alnus glutinosa
Alnus incana,Alnus rugosa
Alnus serrulata
Alopecurus aequalis
Alopecurus carolinianus
Alopecurus geniculatus
Alopecurus pratensis
Althaea officinalis
Alyssum alyssoides
Amaranthus albus
Amaranthus arenicola
Amaranthus blitoides,Amaranthus graecizans
Amaranthus caudatus
Amaranthus cruentus
Amaranthus hybridus
Amaranthus hypochondriacus
Amaranthus palmeri
Amaranthus powellii
Amaranthus retroflexus
Amaranthus rudis,Acnida tamariscina
Amaranthus spinosus
Amaranthus tuberculatus,Acnida altissima
Amberboa moschata,Centaurea moschata
Ambrosia artemisiifolia
Ambrosia psilostachya
Ambrosia tomentosa,Franseria discolor
Ambrosia trifida
Amelanchier arborea
Amelanchier canadensis
Amelanchier humilis
Amelanchier interior
Amelanchier laevis
Amelanchier sanguinea
Ammannia robusta
Ammophila breviligulata
Amorpha canescens
Amorpha fruticosa
Ampelamus albidus
Ampelopsis brevipedunculata
Amphiachyris dracunculoides,Gutierrezia dracunculoides
Amphicarpaea bracteata
Amsinckia menziesii
Amsinckia spectabilis
Anagallis arvensis
Anaphalis margaritacea
Anchusa offlcinalis,Anchusa officinalis
Andromeda polifolia,Andromeda glaucophylla
Andropogon gerardii
Andropogon hallii
Andropogon virginicus
Androsace occidentalis
Anemone canadensis
Anemone caroliniana
Anemone cylindrica
Anemone patens
Anemone quinquefolia
Anemone virginiana
Anethum graveolens
Angelica atropurpurea
Anoda cristata
Antennaria neglecta
Antennaria plantaginifolia
Anthemis arvensis
Anthemis cotula
Anthoxanthum odoratum
Anthriscus caucalis
Anthriscus cerefolium
Anthriscus sylvestris
Anthyllis vulneraria
Anticlea elegans,Zigadenus glaucus
Antirrhinum majus
Antirrhinum orontium
Apera interrupta
Apios americana
Aplectrum hyemale
Apocynum androsaemifolium
Apocynum cannabinum,Apocynum sibiricum
Apocynum x
Aquilegia canadensis
Aquilegia vulgaris
Arabidopsis lyrata,Arabis lyrata
Arabidopsis thaliana
Arabis pycnocarpa,Arabis hirsuta
Arachis hypogaea
Aralia chinensis
Aralia elata
Aralia hispida
Aralia nudicaulis
Aralia racemosa
Arctium lappa
Arctium minus
Arctium tomentosum
Arctostaphylos uva-ursi
Arenaria serpyllifolia
Arethusa bulbosa
Argemone albiflora,Argemone intermedia
Argemone mexicana,Argemone alba
Argentina anserina,Potentilla anserina
Arisaema dracontium
Arisaema triphyllum
Aristida basiramea
Aristida dichotoma
Aristida intermedia
Aristida longespica
Aristida oligantha
Aristida purpurascens
Aristida tuberculosa
Armoracia rusticana
Arnoglossum atriplicifolium,Cacalia atriplicifolia
Arnoglossum plantagineum,Cacalia plantaginea
Arnoglossum reniforme,Cacalia muhlenbergii
Aronia prunifolia
Arrhenatherum elatius
Artemisia abrotanum
Artemisia absinthium
Artemisia annua
Artemisia biennis
Artemisia carruthii
Artemisia caudata
Artemisia dracunculus
Artemisia frigida
Artemisia ludoviciana
Artemisia serrata
Artemisia vulgaris
Aruncus dioicus
Asarum canadense
Asclepias amplexicaulis
Asclepias exaltata
Asclepias incarnata
Asclepias lanuginosa
Asclepias longifolia,Asclepias hirtella
Asclepias meadii
Asclepias ovalifolia
Asclepias perennis
Asclepias purpurascens
Asclepias speciosa
Asclepias sullivantii
Asclepias syriaca
Asclepias tuberosa
Asclepias verticillata
Asclepias viridiflora
Asimina triloba
Asparagus officinalis
Asperugo procumbens
Asplenium platyneuron
Asplenium rhizophyllum,Camptosorus rhizophyllus
Astragalus agrestis
Astragalus canadensis
Astragalus cicer
Astragalus crassicarpus
Astragalus distortus
Astragalus neglectus
Astragalus tennesseensis
Athyrium filix-femina
Atriplex argentea
Atriplex glabriuscula
Atriplex hortensis
Atriplex patula
Atriplex rosea
Aureolaria flava
Aureolaria grandiflora
Aureolaria pedicularia
Aureolaria virginica
Avena fatua
Avena sativa
Azolla cristata,Azolla caroliniana
Bacopa rotundifolia
Ballota nigra
Baptisia alba,Baptisia leucantha
Baptisia australis
Baptisia bracteata,Baptisia leucophaea
Baptisia tinctoria
Barbarea verna
Barbarea vulgaris
Bartonia virginica
Beckmannia syzigachne
Belamcanda chinensis
Bellis perennis
Berberis canadensis
Berberis thunbergii
Berberis vulgaris
Berteroa incana
Berula erecta
Besseya bullii,Wulfenia bullii
Betula alleghaniensis
Betula nigra
Betula papyrifera
Betula pendula
Betula populifolia
Betula pumila
Bidens aristosa,Bidens polylepis
Bidens beckii,Megalodonta beckii
Bidens bipinnata
Bidens cernua
Bidens discoidea
Bidens frondosa
Bidens trichosperma,Bidens coronata
Bidens tripartita,Bidens comosa,Bidens connata
Bidens vulgata
Blephilia ciliata
Blephilia hirsuta
Boechera canadensis,Arabis canadensis
Boechera grahamii,Arabis divaricarpa
Boechera laevigata,Arabis laevigata
Boechera missouriensis,Arabis missouriensis
Boechera shortii,Arabis perstellata
Boechera stricta,Arabis drummondii
Boehmeria cylindrica
Boltonia asteroides,Boltonia latisquama
Borago offlcinalis,Borago officinalis
Bothriochloa laguroides,Andropogon saccharoides
Botrychium campestre
Botrychium dissectum
Botrychium matricariifolium,Botrychium matricariaefolium
Botrychium multifldum,Botrychium multifidum
Botrychium simplex
Botrychium virginianum
Bouteloua curtipendula
Bouteloua gracilis
Bouteloua hirsuta
Brachyelytrum erectum
Brasenia schreberi
Brassica juncea
Brassica napus
Brassica nigra
Brassica rapa
Brickellia eupatorioides,Kuhnia eupatorioides
Bromus arvensis,Bromus japonicus
Bromus brizaeformis
Bromus carinatus
Bromus ciliatus
Bromus commutatus
Bromus hordeaceus,Bromus mollis
Bromus inermis
Bromus kalmii
Bromus latiglumis
Bromus marginatus
Bromus pubescens
Bromus racemosus
Bromus secalinus
Bromus squarrosus
Bromus sterilis
Bromus tectorum
Brunnera macrophylla
Buchloe dactyloides
Buchnera americana
Buglossoides arvense,Lithospermum arvense
Bulbostylis capillaris
Butomus umbellatus
Cakile edentula
Calamagrostis canadensis
Calamagrostis stricta,Calamagrostis inexpansa
Calamovilfa longifolia
Calibrachoa parviflora
Calla palustris
Callirhoe alcaeoides
Callirhoe digitata
Callirhoe involucrata
Callirhoe triangulata
Callitriche heterophylla
Callitriche palustris
Calopogon oklahomensis
Calopogon tuberosus
Caltha palustris
Calylophus serrulatus,Oenothera serrulata
Calyptocarpus vialis
Calystegia hederacea,Convolvulus pellitus
Calystegia sepium,Convolvulus sepium
Calystegia spithamaea,Convolvulus spithamaeus
Camassia scilloides
Camelina microcarpa
Camelina sativa
Campanula aparinoides,Campanula uliginosa
Campanula rapunculoides
Campanula rotundifolia
Campanulastrum americanum,Campanula americana
Campsis radicans
Cannabis sativa
Capsella bursa-pastoris
Cardamine bulbosa
Cardamine concatenata,Dentaria laciniata
Cardamine diphylla,Dentaria diphylla
Cardamine douglassii
Cardamine hirsuta
Cardamine impatiens
Cardamine parviflora
Cardamine pensylvanica
Cardamine pratensis
Cardaria pubescens
Carduus acanthoides
Carduus nutans
Carex abdita,Carex umbellata
Carex acutiformis
Carex aggregata
Carex alata
Carex albicans
Carex albolutescens
Carex albursina
Carex alopecoidea
Carex amphibola
Carex annectens
Carex aquatilis
Carex arctata
Carex argyrantha
Carex atherodes
Carex atlantica
Carex aurea
Carex bebbii
Carex bicknellii
Carex blanda
Carex brevior
Carex bromoides
Carex brunnescens
Carex bushii
