taxon,rbcL,
Abelmoschus esculentus,JN114778.1,
Abutilon theophrasti,HM849734.1,
Acalypha gracilens,KJ773245.1,
Acalypha rhomboidea,U00435.1,
Acalypha virginica,,
Acanthopanax sieboldianus,,
Acer campestre,DQ978399.1,
Acer ginnala,DQ978436.1,
Acer negundo,DQ978417.1,
Acer nigrum,DQ978431.1,
Acer platanoides,DQ978424.1,
Acer pseudoplatanus,DQ978425.1,
Acer rubrum,DQ459381.1,
Acer saccharinum,,
Acer saccharum,DQ978430.1,
Achillea millefolium,KM360610.1,
Achillea ptarmica,HE574580.1,
Aconitum uncinatum,,
Acorus americanus,DQ069499.1,
Acorus calamus,KM360612.1,
Acroptilon repens,KC589889.1,
Actaea pachypoda,EU053899.1,
Actaea rubra,KF724233.1,
Adiantum pedatum,KF186525.1,
Adlumia fungosa,,
Aegilops cylindrica,LN626627.1,
Aegopodium podagraria,U50220.1,
Aesculus glabra,KF724285.1,
Aesculus hippocastanum,KM360616.1,
Aethusa cynapium,KM360617.1,
Agalinis aspera,,
Agalinis gattingeri,EU828224.1,
Agalinis paupercula,GU943627.1,
Agalinis purpurea,EU828238.1,
Agalinis skinneriana,EU828239.1,
Agalinis tenuifolia,AY563936.1,
Agastache nepetoides,,
Agastache scrophulariaefolia,,
Ageratina altissima,HQ590095.1,
Agrimonia gryposepala,HQ589939.1,
Agrimonia parviflora,U06791.1,
Agrimonia pubescens,,
Agrimonia rostellata,,
Agrimonia striata,KJ593193.1,
Agropyron cristatum,JX848483.1,
Agropyron desertorum,HQ652721.1,
Agrostemma githago,KM360618.1,
Agrostis capillaris,AY395527.1,
Agrostis gigantea,HQ589941.1,
Agrostis hyemalis,KJ773252.1,
Agrostis perennans,KJ773253.1,
Agrostis scabra,JX848486.1,
Agrostis stolonifera,AJ746280.1,
Ailanthus altissima,U02726.1,
Aira caryophyllea,AM849361.1,
Ajuga genevensis,,
Ajuga reptans,Z37385.1,
Akebia quinata,L12627.2,
Alcea rosea,KM360621.1,
Aletris farinosa,JQ417657.1,
Alisma subcordatum,,
Alisma triviale,HQ901563.1,
Alliaria petiolata,KM360623.1,
Allium burdickii,,
Allium canadense,KJ773255.1,
Allium cepa,JQ273896.1,
Allium cernuum,,
Allium flstulosum,,
Allium mutabile,,
Allium sativum,HF572830.1,
Allium schoenoprasum,JN890785.1,
Allium stellatum,,
Allium tricoccum,KJ593199.1,
Allium vineale,HM849756.1,
Alnus glutinosa,KM360625.1,
Alnus incana,X56618.1,
Alnus serrulata,KF418934.1,
Alopecurus aequalis,KF712935.1,
Alopecurus carolinianus,,
Alopecurus geniculatus,AJ746281.1,
Alopecurus pratensis,EF125141.1,
Althaea officinalis,KM360627.1,
Alyssum alyssoides,,
Amaranthus albus,JF940785.1,
Amaranthus arenicola,,
Amaranthus blitoides,HM849762.1,
Amaranthus caudatus,,
Amaranthus cruentus,,
Amaranthus hybridus,HM849765.1,
Amaranthus hypochondriacus,X51964.1,
Amaranthus palmeri,,
Amaranthus powellii,,
Amaranthus retroflexus,KM360629.1,
Amaranthus rudis,,
Amaranthus spinosus,HM849766.1,
Amaranthus tuberculatus,,
Amberboa moschata,,
Ambrosia artemisiifolia,DQ006055.1,
Ambrosia psilostachya,KJ773262.1,
Ambrosia tomentosa,,
Ambrosia trifida,AY215082.1,
Amelanchier arborea,JQ391253.1,
Amelanchier canadensis,JQ391257.1,
Amelanchier humilis,,
Amelanchier interior,JQ391249.1,
Amelanchier laevis,JQ391259.1,
Amelanchier sanguinea,JQ391245.1,
Ammannia robusta,KF724282.1,
Ammophila breviligulata,AJ784835.1,
Amorpha canescens,,
Amorpha fruticosa,U74212.1,
Ampelamus albidus,DQ006054.1,
Ampelopsis brevipedunculata,AJ419722.1,
Amphiachyris dracunculoides,,
Amphicarpaea bracteata,EU717257.1,
Amsinckia menziesii,KF997304.1,
Amsinckia spectabilis,,
Anagallis arvensis,M88343.1,
Anaphalis margaritacea,HQ589951.1,
Anchusa offlcinalis,,
Andromeda polifolia,AF124572.1,
Andropogon gerardii,AJ784818.1,
Andropogon hallii,,
Andropogon virginicus,KJ773269.1,
Androsace occidentalis,,
Anemone canadensis,EU053902.1,
Anemone caroliniana,,
Anemone cylindrica,JX848515.1,
Anemone patens,JX848516.1,
Anemone quinquefolia,KF977467.1,
Anemone virginiana,HQ589955.1,
Anethum graveolens,EU016783.1,
Angelica atropurpurea,KF613025.1,
Anoda cristata,,
Antennaria neglecta,JX848401.1,
Antennaria plantaginifolia,,
Anthemis arvensis,HM849778.1,
Anthemis cotula,HM849779.1,
Anthoxanthum odoratum,AJ746256.1,
Anthriscus caucalis,JN893703.1,
Anthriscus cerefolium,,
Anthriscus sylvestris,KM360636.1,
Anthyllis vulneraria,KM360637.1,
Anticlea elegans,JN417468.1,
Antirrhinum majus,GQ997015.1,
Antirrhinum orontium,HM850180.1,
Apera interrupta,EF125147.1,
Apios americana,EU717285.1,
Aplectrum hyemale,AF074108.1,
Apocynum androsaemifolium,HQ589956.1,
Apocynum cannabinum,HQ384907.1,
Apocynum x,,
