taxon,rbcL,matK,ITS,trnL-trnF
Abelmoschus esculentus,JN114778.1,JN114733.1,KC404826.1,
Abutilon theophrasti,HM849734.1,HQ696683.1,DQ006017.1,HQ696727.1
Acalypha gracilens,KJ773245.1,KJ772523.1,,
Acalypha rhomboidea,U00435.1,,DQ006003.1,
Acalypha virginica,,,,
Acanthopanax sieboldianus,,AB571644.1,KJ170230.1,GU055086.1
Acer campestre,DQ978399.1,AJ438795.1,LK022620.1,AF401189.1
Acer ginnala,DQ978436.1,HQ593151.1,AM113524.1,AJ413082.1
Acer negundo,DQ978417.1,EU749281.1,AY605406.1,AF401188.1
Acer nigrum,DQ978431.1,,AY605324.1,DQ978560.1
Acer platanoides,DQ978424.1,AJ438788.1,DQ238461.1,AF401193.1
Acer pseudoplatanus,DQ978425.1,,AY605341.1,DQ978552.1
Acer rubrum,DQ459381.1,EU749286.1,AY605460.1,KF977443.1
Acer saccharinum,,EU749289.1,AM113537.1,HQ266573.1
Acer saccharum,DQ978430.1,AY724265.1,DQ366139.1,AF401173.1
Achillea millefolium,KM360610.1,EU385315.1,JQ230971.1,AY603286.1
Achillea ptarmica,HE574580.1,,AY603248.1,AY603323.1
Aconitum uncinatum,,,,
Acorus americanus,DQ069499.1,DQ069583.1,FJ497031.1,
Acorus calamus,KM360612.1,HE651036.1,DQ008852.1,AY054742.1
Acroptilon repens,KC589889.1,AY013489.1,EU409919.1,AY772268.1
Actaea pachypoda,EU053899.1,HQ593155.1,Z98277.1,
Actaea rubra,KF724233.1,HQ593156.1,Z98278.1,
Adiantum pedatum,KF186525.1,KJ605529.1,,JN052905.1
Adlumia fungosa,,LN610916.1,HE603323.1,HE603352.1
Aegilops cylindrica,LN626627.1,EU013064.1,FR716087.1,JX456360.1
Aegopodium podagraria,U50220.1,U58542.1,JQ792200.1,JQ041833.1
Aesculus glabra,KF724285.1,AY968671.1,EU687671.1,
Aesculus hippocastanum,KM360616.1,EU687725.1,,AB872666.1
Aethusa cynapium,KM360617.1,KJ204433.1,GQ862376.1,
Agalinis aspera,,,,
Agalinis gattingeri,EU828224.1,GU943685.1,EU827823.1,EU828156.1
Agalinis paupercula,GU943627.1,GU943713.1,EU827853.1,EU828181.1
Agalinis purpurea,EU828238.1,JX091307.1,EU827861.1,EU828189.1
Agalinis skinneriana,EU828239.1,GU943724.1,EU827865.1,EU828193.1
Agalinis tenuifolia,AY563936.1,,EU827875.1,
Agastache nepetoides,,,GQ456135.1,
Agastache scrophulariaefolia,,,GQ456138.1,
Ageratina altissima,HQ590095.1,HQ593292.1,,
Agrimonia gryposepala,HQ589939.1,HQ593157.1,,
Agrimonia parviflora,U06791.1,,AY634863.1,
Agrimonia pubescens,,,,
Agrimonia rostellata,,,,
Agrimonia striata,KJ593193.1,KJ840850.1,,
Agropyron cristatum,JX848483.1,JX438066.1,GQ373309.1,AY740792.1
Agropyron desertorum,HQ652721.1,,,
Agrostemma githago,KM360618.1,FJ589503.1,JN589107.1,JN589684.1
Agrostis capillaris,AY395527.1,FJ231112.1,FJ042824.1,EU119354.1
Agrostis gigantea,HQ589941.1,DQ146802.1,KM999957.1,EU639571.1
Agrostis hyemalis,KJ773252.1,,HQ600526.1,EU119353.1
Agrostis perennans,KJ773253.1,KM212066.1,,
Agrostis scabra,JX848486.1,DQ146807.1,DQ146776.1,
Agrostis stolonifera,AJ746280.1,FJ231114.1,KM999958.1,DQ336835.1
Ailanthus altissima,U02726.1,FM179922.1,KM051450.1,FN599505.1
Aira caryophyllea,AM849361.1,,HQ600554.1,
Ajuga genevensis,,,,
Ajuga reptans,Z37385.1,AY840130.1,JN575347.1,JN408587.1
Akebia quinata,L12627.2,AF542587.2,JF980311.1,
Alcea rosea,KM360621.1,EU346805.1,EF679714.1,EF419766.1
Aletris farinosa,JQ417657.1,,,EU186242.1
Alisma subcordatum,,,DQ339084.1,
Alisma triviale,HQ901563.1,,DQ339086.1,
Alliaria petiolata,KM360623.1,AF144363.1,,JN189781.1
Allium burdickii,,,,
Allium canadense,KJ773255.1,KJ772531.1,KC119642.1,KC138983.2
Allium cepa,JQ273896.1,JQ276391.1,FJ664287.1,FJ628603.1
Allium cernuum,,,KC119643.1,KC138984.2
Allium flstulosum,,,,
Allium mutabile,,,,
Allium sativum,HF572830.1,KF769504.1,EU626375.1,EU626261.1
Allium schoenoprasum,JN890785.1,,KF419377.1,KF550171.1
Allium stellatum,,,KC119693.1,
Allium tricoccum,KJ593199.1,KJ592840.1,KC119704.1,KF550174.1
Allium vineale,HM849756.1,,,
Alnus glutinosa,KM360625.1,KF419025.1,AJ251662.1,FJ012046.1
Alnus incana,X56618.1,KF419026.1,AJ251666.1,FJ012048.1
