TRANSECT STRING,
>,
QUAD,4
ACRONYM,   COVER
ARITRI,5
ASTPIL,2
BIDFRO,6
CXBLAN,1
ELYVIR,3
EUPPUR,8
GEUCAN,4
HELHIR,4
HYSPAT,3
OXAEUR,4
PILPUM,3
POLPUN,6
RHACAT,1
RUBIDS,2
SCRMAR,20
SOLALT,25
SOLULM,2
>,
QUAD,5
ACRONYM,   COVER
ARITRI,2
CXBLAN,8
CORRAC,4
EPICOL,1
EREHIE,1
ERIANS,2
EUPPUR,2
GEUCAN,10
HERMAX,3
MONFIS,2
OXAEUR,14
POLPUN,5
RHACAT,8
SOLDUL,2
SOLALT,10
SPHINT,35
>,
QUAD,6
ACRONYM,   COVER
AMPBRB,3
ASTSAD,2
CXBLAN,30
CIRLUC,3
CIRARV,4
ELYVIR,2
EREHIE,15
ERIANS,10
GEUCAN,6
HACVIR,4
HELHIR,25
OXAEUR,4
POTSIS,4
RANSEP,3
RHACAT,8
RUBFLA,4
RUBIDS,15
SOLALT,10
TAROFF,1
>,
QUAD,7
ACRONYM,   COVER
ACENEG,1
CIRLUC,2
EPICOL,3
EREHIE,3
GERMAC,3
GEUCAN,10
PREALB,1
RHACAT,15
RHURAD,3
RIBAME,4
SCRMAR,20
TAROFF,2
>,
QUAD,8
ACRONYM,   COVER
ARITRI,1
GERMAC,4
GEUCAN,2
POTSIS,5
RANSEP,10
RHACAT,99
SOLDUL,8
VITRIP,20
>,
QUAD,9
ACRONYM,   COVER
ARITRI,5
CXBLAN,5
CIRLUC,3
CORRAC,80
GEUCAN,8
LONTAT,5
POTSIS,5
RANSEP,25
RHACAT,10
SMISTE,1
>,
QUAD,10
ACRONYM,   COVER
ARITRI,5
ASTMAC,2
CIRLUC,5
ELYVIL,2
ELYVIR,4
EPICOL,3
FRAVIR,6
GEUCAN,5
PREALB,1
PRUVIR,10
RHACAT,20
RUBIDS,1
SOLDUL,4
SONASP,2
>,
QUAD,11
ACRONYM,   COVER
EPICOL,4
GEUCAN,10
IMPCAP,5
OXAEUR,5
RHAFRA,20
RHURAD,2
RUBOCC,30
SOLDUL,15
TRIPER,30
VITRIP,4
ZIZAUR,5
>,
QUAD,12
ACRONYM,   COVER
ALLPET,5
ANDGER,5
ARITRI,10
CXCEPP,3
CXBLAN,3
CIRARV,15
CIRVUL,1
CORRAC,30
FRAVIR,5
GERMAC,1
GEUCAN,5
HEDPUL,1
MONFIS,9
OXAEUR,8
POTSIS,5
PRUVIR,20
RHACAT,1
RUBFLA,18
RUBOCC,4
SCRMAR,15
SOLALT,5
SONASP,2
TAROFF,1
THADAD,2
VIOSOR,2
>,
QUAD,15
ACRONYM,   COVER
ARITRI,2
CXBLAN,2
EPICOL,2
GEUCAN,25
HACVIR,50
OXAEUR,8
PILPUM,10
POLPUN,2
RHACAT,20
SCRMAR,6
SOLDUL,2
TRIREC,1
ZIZAUR,2
>,
QUAD,16
ACRONYM,   COVER
ALLCAN,5
CAROVT,15
RHACAT,2
