TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ASTLAT,5
ASTSHO,3
CIRARV,10
CIRLUC,4
EUPPUR,5
GALOBT,3
HYSPAT,2
IMPCAP,2
POTSIS,5
RANSEP,15
RHACAT,15
SILSTE,7
SOLALT,2
SPHINT,12
VITRIP,1
ZIZAUR,70
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,5
CINARU,3
CRYCAN,10
CXBLAN,2
GEUCAN,5
HYSPAT,2
LEEVIR,10
OXAEUR,2
PENDIG,35
POLGVI,5
POTSIS,3
RANSEP,10
SPHINT,10
ZIZAUR,60
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,13
ASTLAT,10
CAROVT,5
CRYCAN,5
CXBLAN,18
EUPPUR,15
HELHIR,20
LEEVIR,2
OXAEUR,2
PENDIG,35
POLGVI,2
POTSIS,2
RANSEP,5
RHURAD,3
SOLALT,20
THADIO,10
ZIZAUR,30
>,
    QUAD,7
ACRONYM,COVER
AMPBRB,10
ARITRI,2
ASTLAT,15
BROLAT,2
BROPUB,2
CINARU,2
CRYCAN,5
CXBLAN,5
ELYVIL,1
GERMAC,5
LEEVIR,5
POLGVI,3
POTSIS,10
RANSEP,5
RHACAT,5
RUBOCC,2
SCRMAR,20
SMIECI,5
SOLALT,2
SOLULM,30
SPHINT,8
VERURU,5
VIOSOR,5
ZIZAUR,4
>,
    QUAD,8
ACRONYM,COVER
ANEVIR,6
ARITRI,1
ASTLAT,3
ASTSHO,8
BROPUB,4
CAMSCI,3
CINARU,4
CIRALT,2
CIRLUC,3
CXROSE,2
ELYVIL,2
EUPPUR,8
FRAPES,3
GERMAC,2
HELHIR,10
HYSPAT,5
POLGVI,10
POTSIS,2
RHACAT,1
SCRMAR,15
SMIECI,5
SMILAS,2
SMISTE,1
SOLULM,20
SPHINT,10
THADIO,5
TRIPER,4
TRIREC,2
VERURU,8
>,
    QUAD,9
ACRONYM,COVER
AMPBRB,5
ARIDRA,5
ARITRI,2
CAROVT,3
CXGRAY,5
CXROSE,10
EUPPUR,8
GERMAC,2
HYPPUN,2
LEEVIR,3
MALSIE,8
POLGVI,1
RANSEP,10
RHACAT,2
RUDTRI,10
SCRMAR,15
SOLULM,15
SPHINT,40
TRIPER,2
VIOSOR,7
ZIZAUR,13
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,3
ARITRI,1
BIDFRO,30
CAMSCI,2
CHEHYG,10
GERMAC,1
GEUCAN,3
OXAEUR,2
POLGVI,2
RHACAT,10
SCRMAR,8
SILSTE,2
SOLALT,5
VITRIP,1
>,
    QUAD,11
ACRONYM,COVER
ARITRI,2
ASTLAT,3
CAROVT,3
CIRLUC,5
CXBLAN,1
FRAVIR,2
GEUCAN,10
HYSPAT,10
LEEVIR,40
POLGVI,5
POTSIS,40
PREALB,5
PRUSER,2
RHACAT,5
SMISTE,5
SPHINT,3
TRIPER,8
>,
    QUAD,12
ACRONYM,COVER
ALLCER,5
ANDGER,25
ARITRI,6
ASTLAT,5
CIRALT,10
CXCEPP,5
CXNORM,5
CXPENS,60
EUPMAM,5
FRAVIR,3
GERMAC,5
HELHIR,60
MONFIS,10
PENDIG,5
PREALB,2
RHACAT,5
RUBFLA,5
RUDSUB,70
SCRMAR,4
SMIECI,5
SOLALT,8
THADAD,20
>,
    QUAD,15
ACRONYM,COVER
ARIDRA,1
ARITRI,10
ASTMAC,8
ASTSHO,5
CINARU,2
CXBLAN,12
EUPMAM,15
EUPPUR,5
LEEVIR,40
POTSIS,10
RANSEP,5
SCRMAR,5
SMIECI,3
SOLULM,10
THADAD,5
>,
    QUAD,16
ACRONYM,COVER
AGANEP,5
CAMSCI,3
CXDAVI,10
CXGRAY,2
CXNORM,8
GEUCAN,3
LEEVIR,95
PLARUG,2
SMIECI,2
SOLULM,10
SPHINT,5
VIOSOR,7
>,
    QUAD,20
ACRONYM,COVER
ARIDRA,8
ARITRI,15
BROPUB,5
CINARU,5
ELYVIL,5
EUPPUR,15
FESOBT,5
GEUCAN,2
OSTVIR,2
OXAEUR,3
PRUSER,2
RHACAT,1
SCRMAR,20
SMIECI,2
SOLULM,8
>,
    QUAD,21
ACRONYM,COVER
ARIDRA,1
ARITRI,3
BRAERE,3
BROPUB,2
DENLAC,1
EUPPUR,5
GEUCAN,4
OSTVIR,2
SMISTE,2
SOLULM,25
ZIZAUR,5
>,
    QUAD,22
ACRONYM,COVER
AQUCAN,5
ARITRI,6
ASTLAT,5
CIRALT,10
CXBLAN,10
EUPPUR,10
EUPRUG,8
FESOBT,20
HELHIR,5
OXAEUR,5
PLARUG,1
PRUSER,3
PRUVLA,4
RUDTRI,3
SOLULM,45
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ARITRI,15
CIRALT,5
CXBLAN,2
CXPENS,20
HELHIR,20
HYSPAT,8
PENDIG,10
POTSIS,3
RHACAT,10
RUBFLA,10
RUDSUB,25
SMILAS,2
SOLULM,25
TAEINT,1
TAROFF,5
THADAD,6
TRIPER,2
VITRIP,8
