"Vestal Grove 1998"
1998-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4
"Native Mean C:",4.3
"Total FQI:",36.9
"Native FQI:",38.2
"Cover-weighted FQI:",40.6
"Cover-weighted Native FQI:",40.9
"Adjusted FQI:",41.5
"% C value 0:",10.6
"% C value 1-3:",25.9
"% C value 4-6:",49.4
"% C value 7-10:",14.1

"Species Richness:"
"Total Species:",85
"Native Species:",79,92.9%
"Non-native Species:",6,7.1%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,6,7.1%
Perennial:,78,91.8%
Biennial:,1,1.2%
"Native Annual:",6,7.1%
"Native Perennial:",72,84.7%
"Native Biennial:",1,1.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",219,1769,257.6,77,167.3
"Native shrub",19,173,22.4,7.5,15
"Native grass",16,121,18.8,5.3,12.1
"Non-native shrub",11,121,12.9,5.3,9.1
"Native vine",9,25,10.6,1.1,5.9
"Native sedge",6,48,7.1,2.1,4.6
"Non-native forb",5,10,5.9,0.4,3.2
"Native tree",4,23,4.7,1,2.9
"Non-native tree",1,5,1.2,0.2,0.7
"Non-native grass",1,2,1.2,0.1,0.7
"Native rush",1,1,1.2,0,0.6

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,12,242,4.1,10.5,7.3
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,190,3.4,8.3,5.9
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,11,135,3.8,5.9,4.9
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,6,135,2.1,5.9,4
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,7,113,2.4,4.9,3.7
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,6,92,2.1,4,3.1
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,7,88,2.4,3.8,3.1
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,101,1.7,4.4,3.1
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,6,90,2.1,3.9,3
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,10,45,3.4,2,2.7
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,11,32,3.8,1.4,2.6
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,8,47,2.7,2,2.4
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,7,50,2.4,2.2,2.3
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,41,2.7,1.8,2.3
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,35,2.7,1.5,2.1
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,6,41,2.1,1.8,2
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,48,1.7,2.1,1.9
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,5,43,1.7,1.9,1.8
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,6,34,2.1,1.5,1.8
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,65,0.7,2.8,1.8
"Helenium autumnale",Asteraceae,HELAUT,native,5,-1,forb,perennial,2,60,0.7,2.6,1.7
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,2,55,0.7,2.4,1.6
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,7,14,2.4,0.6,1.5
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,7,13,2.4,0.6,1.5
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,7,10,2.4,0.4,1.4
