"Vestal Grove 2000"
2000-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.9
"Native Mean C:",4.3
"Total FQI:",35.1
"Native FQI:",37.2
"Cover-weighted FQI:",35.1
"Cover-weighted Native FQI:",35.5
"Adjusted FQI:",41.4
"% C value 0:",11.1
"% C value 1-3:",28.4
"% C value 4-6:",42
"% C value 7-10:",18.5

"Species Richness:"
"Total Species:",81
"Native Species:",75,92.6%
"Non-native Species:",6,7.4%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,4,4.9%
Perennial:,73,90.1%
Biennial:,4,4.9%
"Native Annual:",4,4.9%
"Native Perennial:",68,84%
"Native Biennial:",3,3.7%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",141,1353,174.1,62.1,118.1
"Non-native shrub",17,282,21,12.9,17
"Native shrub",15,330,18.5,15.1,16.8
"Native grass",16,51,19.8,2.3,11.1
"Native sedge",11,78,13.6,3.6,8.6
"Native vine",8,39,9.9,1.8,5.9
"Native tree",5,37,6.2,1.7,4
"Non-native forb",2,3,2.5,0.1,1.3
"Non-native grass",2,3,2.5,0.1,1.3
"Non-native tree",2,3,2.5,0.1,1.3

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,11,257,5,11.8,8.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,11,190,5,8.7,6.9
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,8,161,3.7,7.4,5.6
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,8,133,3.7,6.1,4.9
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,8,114,3.7,5.2,4.5
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,141,2.3,6.5,4.4
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,4,150,1.8,6.9,4.4
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,8,106,3.7,4.9,4.3
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,110,2.3,5,3.7
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,69,3.7,3.2,3.5
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,5,78,2.3,3.6,3
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,75,0.5,3.4,2
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,5,31,2.3,1.4,1.9
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,6,22,2.7,1,1.9
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,6,25,2.7,1.1,1.9
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,6,21,2.7,1,1.9
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,5,29,2.3,1.3,1.8
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,3,42,1.4,1.9,1.7
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,55,0.9,2.5,1.7
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,4,19,1.8,0.9,1.4
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,5,6,2.3,0.3,1.3
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,4,13,1.8,0.6,1.2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,3,20,1.4,0.9,1.2
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,4,6,1.8,0.3,1.1
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,4,6,1.8,0.3,1.1
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,12,1.4,0.6,1
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,3,12,1.4,0.6,1
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,2,25,0.9,1.1,1
"Toxicodendron radicans; rhus radicans",Anacardiaceae,RHURAD,native,2,0,vine,perennial,3,7,1.4,0.3,0.9
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,2,18,0.9,0.8,0.9
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,3,6,1.4,0.3,0.9
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,3,5,1.4,0.2,0.8
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,3,4,1.4,0.2,0.8
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,2,10,0.9,0.5,0.7
"Ostrya virginiana",Betulaceae,OSTVIR,native,5,1,tree,perennial,1,20,0.5,0.9,0.7
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,1,20,0.5,0.9,0.7
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,2,11,0.9,0.5,0.7
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,2,7,0.9,0.3,0.6
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,2,4,0.9,0.2,0.6
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,2,6,0.9,0.3,0.6
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,2,5,0.9,0.2,0.6
"Vicia americana",Fabaceae,VICAME,native,7,1,forb,perennial,1,10,0.5,0.5,0.5
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,2,3,0.9,0.1,0.5
"Carex grayi",Cyperaceae,CXGRAY,native,7,-1,sedge,perennial,1,10,0.5,0.5,0.5
"Carex normalis",Cyperaceae,CXNORM,native,5,-1,sedge,perennial,2,3,0.9,0.1,0.5
"Fraxinus pennsylvanica; fraxinus pennsylvanica subintegerrima",Oleaceae,FRAPEN,native,1,-1,tree,perennial,1,8,0.5,0.4,0.5
"Solidago flexicaulis",Asteraceae,SOLFLE,native,7,1,forb,perennial,1,8,0.5,0.4,0.5
"Poa compressa",Poaceae,POACOM,non-native,0,1,grass,perennial,2,3,0.9,0.1,0.5
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,2,3,0.9,0.1,0.5
"Carya cordiformis",Juglandaceae,CARCOR,native,7,1,tree,perennial,1,5,0.5,0.2,0.4
"Menispermum canadense",Menispermaceae,MENCAN,native,6,0,vine,perennial,1,5,0.5,0.2,0.4
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,1,5,0.5,0.2,0.4
"Oxypolis rigidior",Apiaceae,OXYRIG,native,7,-2,forb,perennial,1,5,0.5,0.2,0.4
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,1,5,0.5,0.2,0.4
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,1,5,0.5,0.2,0.4
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,1,5,0.5,0.2,0.4
"Daucus carota",Apiaceae,DAUCAR,non-native,0,2,forb,biennial,1,2,0.5,0.1,0.3
"Anemone virginiana",Ranunculaceae,ANEVIR,native,5,1,forb,perennial,1,1,0.5,0,0.3
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,2,0.5,0.1,0.3
"Sisyrinchium angustifolium",Iridaceae,SISANG,native,10,0,forb,perennial,1,2,0.5,0.1,0.3
"Oenothera biennis",Onagraceae,OENBIE,native,0,1,forb,biennial,1,1,0.5,0,0.3
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,1,1,0.5,0,0.3
"Viburnum prunifolium",Caprifoliaceae,VIBPRU,native,5,1,shrub,perennial,1,3,0.5,0.1,0.3
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,1,2,0.5,0.1,0.3
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,1,1,0.5,0,0.3
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,1,1,0.5,0,0.3
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,1,1,0.5,0,0.3
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,1,1,0.5,0,0.3
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,1,2,0.5,0.1,0.3
"Dichanthelium acuminatum; panicum implicatum; panicum auburne; panicum lindheimeri; panicum praecocius; panicum subvillosum; panicum villosissimum; panicum villosissimum pseudopubescens",Poaceae,DICACU,native,2,0,grass,perennial,1,3,0.5,0.1,0.3
"Carex davisii",Cyperaceae,CXDAVI,native,7,0,sedge,perennial,1,2,0.5,0.1,0.3
"Agrostis perennans",Poaceae,AGRPER,native,3,0,grass,perennial,1,1,0.5,0,0.3
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,1,1,0.5,0,0.3
"Quercus macrocarpa",Fagaceae,QUEMAC,native,5,0,tree,perennial,1,2,0.5,0.1,0.3
"Persicaria punctata; polygonum punctatum",Polygonaceae,PERPUN,native,6,-2,forb,annual,1,2,0.5,0.1,0.3
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,1,2,0.5,0.1,0.3
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,1,2,0.5,0.1,0.3
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,1,3,0.5,0.1,0.3
"Aquilegia canadensis",Ranunculaceae,AQUCAN,native,6,1,forb,perennial,1,2,0.5,0.1,0.3
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,1,3,0.5,0.1,0.3
"Carya ovata",Juglandaceae,CAROVT,native,5,1,tree,perennial,1,2,0.5,0.1,0.3

"Quadrat Level Metrics:"
Quadrat,"Species Richness","Native Species Richness","Total Mean C","Native Mean C","Total FQI","Native FQI","Cover-weighted FQI","Cover-weighted Native FQI","Adjusted FQI","Mean Wetness","Mean Native Wetness",Latitude,Longitude
4,17,16,4.1,4.4,16.9,17.6,16.1,16,42.7,0.4,0.4,n/a,n/a
5,12,12,3.4,3.4,11.8,11.8,15.2,15.2,34,0.3,0.3,n/a,n/a
6,13,13,4.1,4.1,14.8,14.8,12.6,12.6,41,0.6,0.6,n/a,n/a
7,11,10,3.8,4.2,12.6,13.3,8.3,11.1,40,0.2,0.2,n/a,n/a
8,9,8,3.7,4.1,11.1,11.6,6.9,11.3,38.7,1.1,1.3,n/a,n/a
9,15,13,3.9,4.5,15.1,16.2,13.9,14.4,41.9,0.3,0.4,n/a,n/a
10,11,10,3,3.3,9.9,10.4,5.6,7.3,31.5,0.3,0.3,n/a,n/a
11,16,13,2.1,2.6,8.4,9.4,8.8,9.7,23.4,0.4,0.4,n/a,n/a
12,19,17,3.5,3.9,15.3,16.1,15.3,15.7,36.9,0.3,0.4,n/a,n/a
15,10,10,4.4,4.4,13.9,13.9,12.3,12.3,44,0.3,0.3,n/a,n/a
