"Vestal Grove 2005"
2005-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4
"Native Mean C:",4.3
"Total FQI:",38.2
"Native FQI:",39.4
"Cover-weighted FQI:",42
"Cover-weighted Native FQI:",42.2
"Adjusted FQI:",41.3
"% C value 0:",12.1
"% C value 1-3:",28.6
"% C value 4-6:",38.5
"% C value 7-10:",20.9

"Species Richness:"
"Total Species:",91
"Native Species:",84,92.3%
"Non-native Species:",7,7.7%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,8,8.8%
Perennial:,79,86.8%
Biennial:,4,4.4%
"Native Annual:",8,8.8%
"Native Perennial:",74,81.3%
"Native Biennial:",2,2.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",205,1618,225.3,72.4,148.9
"Native grass",21,254,23.1,11.4,17.3
"Native sedge",13,178,14.3,8,11.2
"Native vine",13,56,14.3,2.5,8.4
"Non-native shrub",9,62,9.9,2.8,6.4
"Non-native forb",9,28,9.9,1.3,5.6
"Native shrub",7,27,7.7,1.2,4.5
"Native tree",2,3,2.2,0.1,1.2
"Non-native grass",1,8,1.1,0.4,0.8

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,220,3.6,9.8,6.7
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,9,185,3.2,8.3,5.8
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,164,2.5,7.3,4.9
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,10,81,3.6,3.6,3.6
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,13,50,4.6,2.2,3.4
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,5,104,1.8,4.7,3.3
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,8,82,2.9,3.7,3.3
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,120,0.7,5.4,3.1
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,8,68,2.9,3,3
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,9,62,3.2,2.8,3
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,6,83,2.1,3.7,2.9
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,5,63,1.8,2.8,2.3
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,7,43,2.5,1.9,2.2
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,8,28,2.9,1.3,2.1
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,47,1.8,2.1,2
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,4,46,1.4,2.1,1.8
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,6,27,2.1,1.2,1.7
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,20,2.5,0.9,1.7
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,5,30,1.8,1.3,1.6
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,6,25,2.1,1.1,1.6
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,4,25,1.4,1.1,1.3
"Hedeoma pulegioides",Lamiaceae,HEDPUL,native,3,2,forb,annual,1,50,0.4,2.2,1.3
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,10,2.1,0.4,1.3
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,4,25,1.4,1.1,1.3
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,6,9,2.1,0.4,1.3
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,3,31,1.1,1.4,1.3
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,3,27,1.1,1.2,1.2
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,16,1.4,0.7,1.1
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,23,1.1,1,1.1
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,4,17,1.4,0.8,1.1
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,3,17,1.1,0.8,1
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,30,0.7,1.3,1
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,2,27,0.7,1.2,1
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,4,11,1.4,0.5,1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,4,8,1.4,0.4,0.9
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,2,23,0.7,1,0.9
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,4,9,1.4,0.4,0.9
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,3,15,1.1,0.7,0.9
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,20,0.7,0.9,0.8
"Chenopodium simplex; chenopodium hybridum gigantospermum",Chenopodiaceae,CHEHYB,native,3,2,forb,annual,3,12,1.1,0.5,0.8
"Alliaria petiolata",Brassicaceae,ALLPET,non-native,0,0,forb,biennial,3,10,1.1,0.4,0.8
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,2,16,0.7,0.7,0.7
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,2,16,0.7,0.7,0.7
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,3,7,1.1,0.3,0.7
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,1,20,0.4,0.9,0.7
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,2,16,0.7,0.7,0.7
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,3,3,1.1,0.1,0.6
"Carex grayi",Cyperaceae,CXGRAY,native,7,-1,sedge,perennial,2,10,0.7,0.4,0.6
