"Vestal Grove 2007"
2007-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.1
"Native Mean C:",4.4
"Total FQI:",37.4
"Native FQI:",39.1
"Cover-weighted FQI:",42.8
"Cover-weighted Native FQI:",43.6
"Adjusted FQI:",42.9
"% C value 0:",8.4
"% C value 1-3:",24.1
"% C value 4-6:",51.8
"% C value 7-10:",15.7

"Species Richness:"
"Total Species:",83
"Native Species:",79,95.2%
"Non-native Species:",4,4.8%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,6,7.2%
Perennial:,76,91.6%
Biennial:,1,1.2%
"Native Annual:",6,7.2%
"Native Perennial:",72,86.7%
"Native Biennial:",1,1.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",174,1567,209.6,67.8,138.7
"Native grass",36,402,43.4,17.4,30.4
"Native sedge",17,177,20.5,7.7,14.1
"Non-native shrub",9,54,10.8,2.3,6.6
"Native vine",9,45,10.8,1.9,6.4
"Native tree",9,25,10.8,1.1,6
"Native shrub",3,17,3.6,0.7,2.2
"Non-native forb",3,17,3.6,0.7,2.2
"Non-native tree",1,8,1.2,0.3,0.8

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,9,188,3.4,8.1,5.8
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,7,195,2.7,8.4,5.6
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,6,182,2.3,7.9,5.1
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,11,63,4.2,2.7,3.5
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,5,115,1.9,5,3.5
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,7,88,2.7,3.8,3.3
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,7,87,2.7,3.8,3.3
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,8,75,3.1,3.2,3.2
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,8,71,3.1,3.1,3.1
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,9,54,3.4,2.3,2.9
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,4,85,1.5,3.7,2.6
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,7,50,2.7,2.2,2.5
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,95,0.8,4.1,2.5
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,7,46,2.7,2,2.4
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,6,50,2.3,2.2,2.3
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,80,0.8,3.5,2.2
