TRANSECT STRING,
>,
    QUAD,1
ACRONYM,COVER
AGRALA,25
AGRGRY,1
AGRREP,15
BARVUL,2
BROINE,5
CIRVUL,3
CRAMOL,1
DACGLO,1
DAUCAR,8
OXAEUR,3
POAPRA,40
SOLALT,2
>,
    QUAD,2
ACRONYM,COVER
AGRALA,10
ASTSAD,3
CXCEPI,25
CXNORM,10
DACGLO,40
DAUCAR,5
FESELA,15
FRAVIR,1
GEUCAN,2
LACCAN,1
OXAEUR,5
PHLPRA,25
PLARUG,1
POAPRA,15
RHACAT,2
SCIPEN,5
SOLALT,1
SOLRIG,8
TAROFF,2
VIOSOR,1
>,
    QUAD,3
ACRONYM,COVER
ASTPIL,2
ASTSAD,2
ASTSIS,5
CXBLAN,5
CXCEPI,5
CXROSE,1
ELYVIL,1
ELYVIR,15
EUPPUR,2
GEUCAN,1
HELHIR,2
HERMAX,10
HYSPAT,15
LACCAN,1
LEEVIR,14
OXAEUR,1
RUDSUB,40
RUDTRI,10
SCRMAR,5
SOLALT,20
VITRIP,1
>,
    QUAD,4
ACRONYM,COVER
ARITRI,1
ASTSAD,1
BIDFRO,3
ELYVIL,3
ELYVIR,15
EUPPUR,20
GEUCAN,4
HELHIR,8
HYSPAT,10
OXAEUR,1
SCRMAR,40
SILSTE,2
SOLALT,35
SOLULM,25
ZIZAUR,1
>,
    QUAD,5
ACRONYM,COVER
CINARU,15
CORRAC,1
EUPPUR,10
GEUCAN,75
HELHIR,5
HERMAX,10
MONFIS,3
OXAEUR,1
PENDIG,8
POLPUN,4
RHACAT,1
SCRMAR,1
SILSTE,1
SOLALT,10
ZIZAUR,4
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,8
ASTPIL,1
CAMAME,2
CINARU,15
CIRLUC,1
CRYCAN,1
CXBLAN,5
FRAVIR,5
GEUCAN,10
HELHIR,25
MONFIS,1
POLPUN,1
POTSIS,3
RANSEP,15
RHACAT,5
RUBIDS,15
SCRMAR,1
SOLALT,15
>,
    QUAD,7
ACRONYM,COVER
AGATEN,1
BROKAL,1
CINARU,1
ELYVIL,2
EREHIE,5
FRAVIR,2
GERMAC,3
GEUCAN,70
HACVIR,2
OXAEUR,1
POLPUN,1
RANSEP,1
RHACAT,15
RIBAME,4
SCRMAR,20
TAROFF,4
>,
    QUAD,8
ACRONYM,COVER
AQUCAN,1
ARITRI,1
CHEHYG,1
CINARU,4
CIRARV,2
ELYVIL,2
EREHIE,1
GERMAC,8
GEUCAN,1
PARINS,2
RHACAT,20
RHAFRA,3
SCRMAR,2
SMIECI,2
SMISTE,2
SOLAME,2
TRIREC,2
VITRIP,1
>,
    QUAD,9
ACRONYM,COVER
ARITRI,3
CIRLUC,8
CORRAC,8
CXBLAN,5
ELYVIL,4
GEUCAN,4
IMPCAP,1
OXAEUR,3
POTSIS,2
PRUVIR,5
RANSEP,60
RHACAT,7
RHAFRA,4
RHURAD,1
RUBIDS,1
SMIECI,1
SMISTE,1
SOLAME,3
SOLDUL,1
>,
    QUAD,10
ACRONYM,COVER
ARITRI,2
ASTMAC,10
CIRLUC,1
ELYVIL,1
ELYVIR,8
FRAVIR,3
GEUCAN,15
IMPCAP,4
OXAEUR,1
POLGVI,3
PREALB,2
PRUVIR,8
