TRANSECT STRING,,,
>,,,
    QUAD,4,,
ACRONYM,COVER,,
ALLCAN,5,,
ANDGER,5,,
ARITRI,5,,
CORRAC,15,,
GEUCAN,5,,
OXAEUR,5,,
PARINS,10,,
PRUVLA,30,,
RHACAT,20,,
SOLDUL,5,,
SONASP,5,,
VERHAS,5,,
VITRIP,10,,
>,,,
    QUAD,5,,
ACRONYM,COVER,,
ARITRI,15,,
CIRLUC,5,,
CORRAC,15,,
CRAMOL,5,,
CXBLAN,5,,
EPICOL,10,,
ERIANS,5,,
FRAVIR,5,,
GEUCAN,10,,
OXAEUR,5,,
POAPRA,5,,
POPDEL,5,,
PRUVLA,5,,
RANSEP,5,,
RHACAT,15,,
RUBIDS,5,,
SOLDUL,10,,
SOLJUN,5,,
TAROFF,5,,
VITRIP,10,,
>,,,
    QUAD,6,,
ACRONYM,COVER,,
CORRAC,5,,
GEUCAN,5,,
LONTAT,5,,
OXAEUR,5,,
PRUVLA,5,,
RHACAT,10,,
RHURAD,5,,
RUBIDS,5,,
SOLDUL,5,,
TAROFF,15,,
>,,,
    QUAD,7,,
ACRONYM,COVER,,
ARITRI,5,,
CORRAC,10,,
GERMAC,5,,
GEUCAN,5,,
PARINS,5,,
POAPRA,5,,
POPDEL,5,,
PRUSER,5,,
PRUVLA,5,,
RHACAT,5,,
RHURAD,5,,
SOLDUL,10,,
>,,,
    QUAD,8,,
ACRONYM,COVER,,
AGRGRY,5,,
ARITRI,5,,
CIRLUC,5,,
CORRAC,5,,
CXBLAN,5,,
EPICOL,5,,
GERMAC,5,,
GEUCAN,5,,
PARINS,5,,
POTSIS,30,,
PRUVIR,30,,
PRUVLA,5,,
RHACAT,50,,
SMIRAC,5,,
VITRIP,5,,
>,,,
    QUAD,9,,
ACRONYM,COVER,,
ALLTRT,15,,
AQUCAN,15,,
ARITRI,5,,
CIRLUC,5,,
CXBLAN,5,,
EPICOL,5,,
FRAVIR,5,,
GERMAC,15,,
GEUCAN,5,,
OXAEUR,10,,
RANSEP,30,,
RHACAT,30,,
RHAFRA,5,,
RHURAD,5,,
>,,,
    QUAD,10,,
ACRONYM,COVER,,
ARITRI,5,,
CIRLUC,15,,
EPICOL,5,,
PRUVIR,5,,
QUEMAC,50,,
RHACAT,20,,
SMIRAC,15,,
VITRIP,10,,
>,,,
    QUAD,11,,
ACRONYM,COVER,,
CIRDIS,5,,
EPICOL,15,,
GERMAC,15,,
OXAEUR,5,,
PRUVLA,5,,
RHACAT,30,,
RHURAD,5,,
VIBACE,5,,
VIOSOR,10,,
>,,,
    QUAD,12,,
ACRONYM,COVER,,
ALLTRT,5,,
CORRAC,15,,
CRAMOL,5,,
EPIHEL,5,,
GERMAC,5,,
GEUCAN,5,,
PREALB,5,,
PRUSER,5,,
RHACAT,20,,
RUBOCC,15,,
SMIECI,5,,
SMIRAC,5,,
>,,,
    QUAD,13,,
ACRONYM,COVER,,
ARITRI,5,,
CIRLUC,30,,
CIRVUL,5,,
CORRAC,5,,
GERMAC,5,,
OXAEUR,15,,
PRUVIR,30,,
RHACAT,30,,
RUBIDS,5,,
TAROFF,5,,
VITRIP,5,,
>,,,
    QUAD,14,,
ACRONYM,COVER,,
ARCMIN,5,,
ARITRI,5,,
CIRLUC,15,,
CORRAC,20,,
GEUCAN,30,,
LONTAT,15,,
OXAEUR,5,,
PRUSER,5,,
RHACAT,25,,
SMIECI,5,,
