TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ALLCAN,8
EUPPUR,8
HYSPAT,2
LEEVIR,3
RANSEP,30
RHACAT,8
SILSTE,4
SOLALT,30
SOLULM,5
ZIZAUR,20
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,20
ARIDRA,1
ASTLAT,3
CAMSCI,5
CINARU,2
CRYCAN,50
EUPPUR,5
HELHIR,5
LEEVIR,30
PENDIG,5
POLGVI,15
RANSEP,15
SILSTE,6
SOLALT,15
ZIZAUR,40
>,
    QUAD,6
ACRONYM,COVER
ASTLAT,3
CINARU,5
EUPPUR,5
HELHIR,5
PENDIG,5
POLGVI,5
RANSEP,40
RHURAD,1
RUBIDS,5
RUBOCC,20
SOLALT,20
THADIO,5
ZIZAUR,10
>,
    QUAD,7
ACRONYM,COVER
ALLPET,1
GERMAC,8
GEUCAN,3
IMPCAP,5
LEEVIR,25
POLGVI,40
RANSEP,1
SOLULM,10
>,
    QUAD,8
ACRONYM,COVER
ARITRI,10
CIRLUC,5
EUPPUR,3
GERMAC,15
HELHIR,1
POLGVI,2
POTSIS,5
RHACAT,50
SMISTE,2
SOLULM,1
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,15
ALLTRT,2
AMPBRB,5
ARIDRA,8
ARITRI,3
ASTSHO,2
CXBLAN,5
GERMAC,5
HELAUT,8
IMPCAP,10
POLGVI,1
RANSEP,5
RHACAT,40
RUBOCC,5
SOLALT,3
SOLULM,3
VIOPUB,8
>,
    QUAD,10
ACRONYM,COVER
ALLPET,15
ARITRI,1
GERMAC,2
GEUCAN,1
IMPCAP,1
POLGVI,20
PRUVIR,3
RHACAT,50
RHURAD,1
RUBOCC,5
SOLALT,25
SOLFLE,2
>,
    QUAD,11
ACRONYM,COVER
ALLPET,5
ARITRI,1
ASTLAT,3
CAROVT,3
CIRLUC,3
GERMAC,1
IMPCAP,2
LEEVIR,3
MALSIE,1
POLGVI,15
POTSIS,1
PREALB,1
RHACAT,5
SMISTE,1
SOLALT,15
VIOSOR,1
>,
    QUAD,12
ACRONYM,COVER
ANDGER,10
ARITRI,8
CIRALT,30
CXPENS,40
FRAVIR,1
GERMAC,3
GEUCAN,5
