"Vestal Grove 2013"
2013-06-07
"Somme Prairie Grove"
Northbrook
Cook
Illinois
USA
"FQA DB Region:","Chicago Region"
"FQA DB Publication Year:",1994
"FQA DB Description:","Swink, F. and G. Wilhelm. 1994. Plants of the Chicago Region, 4th ed., Indiana Academy of Science, Indianapolis, 921 p."

Practitioner:,"Packard & Masters"
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:","combined with transect recorded on 9/8/2013."
Private/Public:,Public

"Conservatism-Based Metrics:"
"Total Mean C:",4.4
"Native Mean C:",4.7
"Total FQI:",53.7
"Native FQI:",55.4
"Cover-weighted FQI:",58.6
"Cover-weighted Native FQI:",58.9
"Adjusted FQI:",45.4
"% C value 0:",12.1
"% C value 1-3:",18.1
"% C value 4-6:",46.3
"% C value 7-10:",23.5

"Species Richness:"
"Total Species:",149
"Native Species:",139,93.3%
"Non-native Species:",10,6.7%

"Species Wetness:"
"Mean Wetness:",1.2
"Native Mean Wetness:",1.1

"Duration Metrics:"
Annual:,8,5.4%
Perennial:,138,92.6%
Biennial:,3,2%
"Native Annual:",8,5.4%
"Native Perennial:",129,86.6%
"Native Biennial:",2,1.3%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",357,4676,239.6,82.5,161.1
"Native grass",47,320,31.5,5.6,18.6
"Native vine",21,310,14.1,5.5,9.8
"Native sedge",17,144,11.4,2.5,7
"Non-native forb",13,43,8.7,0.8,4.8
"Native shrub",8,52,5.4,0.9,3.2
"Non-native shrub",6,44,4,0.8,2.4
"Native rush",4,30,2.7,0.5,1.6
"Non-native grass",4,17,2.7,0.3,1.5
"Native tree",3,26,2,0.5,1.3
"Non-native tree",2,3,1.3,0.1,0.7

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",n/a,HELSTR,native,5,5,forb,perennial,21,815,4.4,14.4,9.4
"Solidago altissima",n/a,SOLALT,native,1,3,forb,perennial,17,465,3.5,8.2,5.9
"Zizia aurea",n/a,ZIZAUR,native,7,-1,forb,perennial,13,359,2.7,6.3,4.5
"Solidago ulmifolia",n/a,SOLULM,native,5,5,forb,perennial,11,200,2.3,3.5,2.9
"Arisaema triphyllum",n/a,ARITRI,native,4,-2,forb,perennial,16,140,3.3,2.5,2.9
"Eupatorium purpureum",n/a,EUPPUR,native,7,5,forb,perennial,8,155,1.7,2.7,2.2
"Leersia virginica",n/a,LEEVIR,native,7,-3,grass,perennial,8,137,1.7,2.4,2.1
"Helianthus decapetalus",n/a,HELDEC,native,5,5,forb,perennial,6,145,1.2,2.6,1.9
"Amphicarpaea bracteata",n/a,AMPBRB,native,4,0,vine,perennial,6,132,1.2,2.3,1.8
"Fragaria virginiana",n/a,FRAVIR,native,1,1,forb,perennial,8,109,1.7,1.9,1.8
"Smilax lasioneura",n/a,SMILAS,native,5,5,vine,perennial,7,108,1.5,1.9,1.7
"Rudbeckia subtomentosa",n/a,RUDSUB,native,9,2,forb,perennial,6,105,1.2,1.9,1.6
"Allium canadense",n/a,ALLCAN,native,2,3,forb,perennial,9,55,1.9,1,1.5
"Thalictrum revolutum",n/a,THAREV,native,6,0,forb,perennial,5,110,1,1.9,1.5
"Triosteum perfoliatum",n/a,TRIPER,native,5,5,forb,perennial,5,105,1,1.9,1.5
"Penstemon digitalis",n/a,PENDIG,native,4,1,forb,perennial,8,55,1.7,1,1.4
"Polygonatum canaliculatum",n/a,POLCAL,native,3,3,forb,perennial,9,48,1.9,0.8,1.4
"Impatiens capensis",n/a,IMPCAP,native,3,-3,forb,annual,6,73,1.2,1.3,1.3
"Camassia scilloides",n/a,CAMSCI,native,6,-1,forb,perennial,7,44,1.5,0.8,1.2
"Smilacina racemosa",n/a,SMIRAC,native,3,3,forb,perennial,8,42,1.7,0.7,1.2
