"Vestal Grove All 1985"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",2.9
"Native Mean C:",3.4
"Total FQI:",23.9
"Native FQI:",25.9
"Cover-weighted FQI:",28
"Cover-weighted Native FQI:",29.7
"Adjusted FQI:",31.4
"% C value 0:",20.6
"% C value 1-3:",39.7
"% C value 4-6:",32.4
"% C value 7-10:",7.4

"Species Richness:"
"Total Species:",68
"Native Species:",58,85.3%
"Non-native Species:",10,14.7%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.3

"Duration Metrics:"
Annual:,3,4.4%
Perennial:,60,88.2%
Biennial:,5,7.4%
"Native Annual:",2,2.9%
"Native Perennial:",53,77.9%
"Native Biennial:",3,4.4%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",116,1022,170.6,44.9,107.8
"Native shrub",30,357,44.1,15.7,29.9
"Non-native shrub",25,436,36.8,19.2,28
"Native vine",26,154,38.2,6.8,22.5
"Native tree",13,108,19.1,4.7,11.9
"Non-native forb",13,75,19.1,3.3,11.2
"Non-native vine",10,71,14.7,3.1,8.9
"Native sedge",6,33,8.8,1.4,5.1
"Non-native grass",3,15,4.4,0.7,2.6
"Native grass",1,5,1.5,0.2,0.9

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,20,391,8.2,17.2,12.7
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,13,178,5.3,7.8,6.6
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,15,131,6.2,5.8,6
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,10,140,4.1,6.2,5.2
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,11,90,4.5,4,4.3
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,12,81,4.9,3.6,4.3
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,10,71,4.1,3.1,3.6
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,9,60,3.7,2.6,3.2
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,7,55,2.9,2.4,2.7
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,7,45,2.9,2,2.5
"Prunella vulgaris ssp. lanceolata; prunella vulgaris lanceolata",Lamiaceae,PRUVULL,native,0,0,forb,perennial,6,55,2.5,2.4,2.5
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,4,70,1.6,3.1,2.4
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,5,55,2.1,2.4,2.3
"Toxicodendron radicans; rhus radicans",Anacardiaceae,RHURAD,native,2,0,vine,perennial,7,33,2.9,1.4,2.2
"Epilobium coloratum",Onagraceae,EPICOL,native,3,-2,forb,perennial,5,40,2.1,1.8,2
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,5,35,2.1,1.5,1.8
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,4,46,1.6,2,1.8
"Parthenocissus inserta ; parthenocissus inserta",Vitaceae,PARINS,native,1,1,vine,perennial,5,30,2.1,1.3,1.7
"Lonicera tatarica",Caprifoliaceae,LONTAT,non-native,0,1,shrub,perennial,4,40,1.6,1.8,1.7
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,5,23,2.1,1,1.6
"Prunus serotina",Rosaceae,PRUSER,native,1,1,tree,perennial,5,25,2.1,1.1,1.6
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,5,25,2.1,1.1,1.6
