"Vestal Grove All 1986"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.2
"Native Mean C:",3.7
"Total FQI:",27.3
"Native FQI:",29.1
"Cover-weighted FQI:",23.1
"Cover-weighted Native FQI:",26
"Adjusted FQI:",34.1
"% C value 0:",21.9
"% C value 1-3:",31.5
"% C value 4-6:",35.6
"% C value 7-10:",11

"Species Richness:"
"Total Species:",73
"Native Species:",62,84.9%
"Non-native Species:",11,15.1%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,8,11%
Perennial:,60,82.2%
Biennial:,5,6.8%
"Native Annual:",7,9.6%
"Native Perennial:",53,72.6%
"Native Biennial:",2,2.7%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",111,770,152.1,47.4,99.8
"Native shrub",17,284,23.3,17.5,20.4
"Non-native shrub",15,299,20.5,18.4,19.5
"Non-native forb",14,59,19.2,3.6,11.4
"Native grass",9,66,12.3,4.1,8.2
"Native sedge",8,54,11,3.3,7.2
"Non-native vine",7,37,9.6,2.3,6
"Native vine",7,35,9.6,2.2,5.9
"Native tree",5,21,6.8,1.3,4.1

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,12,254,6.2,15.6,10.9
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,5,134,2.6,8.2,5.4
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,10,85,5.2,5.2,5.2
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,8,65,4.1,4,4.1
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,5,84,2.6,5.2,3.9
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,7,51,3.6,3.1,3.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,5,65,2.6,4,3.3
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,4,61,2.1,3.8,3
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,7,37,3.6,2.3,3
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,8,31,4.1,1.9,3
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,3,69,1.6,4.2,2.9
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,3,62,1.6,3.8,2.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,4,39,2.1,2.4,2.3
"Epilobium coloratum",Onagraceae,EPICOL,native,3,-2,forb,perennial,6,14,3.1,0.9,2
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,5,18,2.6,1.1,1.9
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,3,36,1.6,2.2,1.9
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,2,40,1,2.5,1.8
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,3,32,1.6,2,1.8
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,4,19,2.1,1.2,1.7
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,2,34,1,2.1,1.6
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,3,26,1.6,1.6,1.6
"Cirsium vulgare",Asteraceae,CIRVUL,non-native,0,1,forb,biennial,3,21,1.6,1.3,1.5
"Persicaria punctata; polygonum punctatum",Polygonaceae,PERPUN,native,6,-2,forb,annual,4,14,2.1,0.9,1.5
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,1,35,0.5,2.2,1.4
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,3,18,1.6,1.1,1.4
"Erigeron annuus",Asteraceae,ERIANN,native,0,1,forb,biennial,3,16,1.6,1,1.3
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,4,6,2.1,0.4,1.3
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,30,0.5,1.8,1.2
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,3,13,1.6,0.8,1.2
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,3,9,1.6,0.6,1.1
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,3,8,1.6,0.5,1.1
