"Vestal Grove All 1988"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.9
"Native Mean C:",4.3
"Total FQI:",42
"Native FQI:",43.9
"Cover-weighted FQI:",40.9
"Cover-weighted Native FQI:",42.8
"Adjusted FQI:",40.7
"% C value 0:",15.5
"% C value 1-3:",27.6
"% C value 4-6:",39.7
"% C value 7-10:",17.2

"Species Richness:"
"Total Species:",116
"Native Species:",104,89.7%
"Non-native Species:",12,10.3%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,13,11.2%
Perennial:,98,84.5%
Biennial:,5,4.3%
"Native Annual:",13,11.2%
"Native Perennial:",88,75.9%
"Native Biennial:",3,2.6%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",249,1481,214.7,61.2,138
"Native shrub",36,329,31,13.6,22.3
"Native grass",31,178,26.7,7.4,17.1
"Non-native shrub",24,231,20.7,9.5,15.1
"Non-native forb",20,64,17.2,2.6,9.9
"Native tree",13,23,11.2,1,6.1
"Native vine",11,35,9.5,1.4,5.5
"Native sedge",8,44,6.9,1.8,4.4
"Non-native vine",7,32,6,1.3,3.7
"Non-native grass",1,2,0.9,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,17,229,4.3,9.5,6.9
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,16,188,4,7.8,5.9
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,9,126,2.3,5.2,3.8
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,11,103,2.8,4.3,3.6
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,8,106,2,4.4,3.2
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,6,86,1.5,3.6,2.6
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,6,78,1.5,3.2,2.4
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,12,38,3,1.6,2.3
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,81,1.3,3.3,2.3
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,6,76,1.5,3.1,2.3
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,65,1.5,2.7,2.1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,10,33,2.5,1.4,2
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,5,65,1.3,2.7,2
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,5,57,1.3,2.4,1.9
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,11,19,2.8,0.8,1.8
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,43,1.8,1.8,1.8
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,10,21,2.5,0.9,1.7
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,10,21,2.5,0.9,1.7
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,50,1.3,2.1,1.7
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,7,36,1.8,1.5,1.7
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,7,38,1.8,1.6,1.7
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,8,35,2,1.4,1.7
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,34,1.8,1.4,1.6
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,7,32,1.8,1.3,1.6
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,7,32,1.8,1.3,1.6
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,21,2,0.9,1.5
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,3,50,0.8,2.1,1.5
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,6,32,1.5,1.3,1.4
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,3,45,0.8,1.9,1.4
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,5,28,1.3,1.2,1.3
"Elymus villosus",Poaceae,ELYVIL,native,5,1,grass,perennial,7,19,1.8,0.8,1.3
