"Vestal Grove All 1989"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.5
"Native Mean C:",4
"Total FQI:",34.5
"Native FQI:",37.1
"Cover-weighted FQI:",33.5
"Cover-weighted Native FQI:",35.2
"Adjusted FQI:",37.7
"% C value 0:",18.6
"% C value 1-3:",25.8
"% C value 4-6:",42.3
"% C value 7-10:",13.4

"Species Richness:"
"Total Species:",97
"Native Species:",86,88.7%
"Non-native Species:",11,11.3%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,8,8.2%
Perennial:,83,85.6%
Biennial:,6,6.2%
"Native Annual:",8,8.2%
"Native Perennial:",75,77.3%
"Native Biennial:",3,3.1%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",210,1251,216.5,59.4,138
"Native grass",40,238,41.2,11.3,26.3
"Non-native shrub",18,278,18.6,13.2,15.9
"Native shrub",20,185,20.6,8.8,14.7
"Non-native forb",16,72,16.5,3.4,10
"Native vine",9,25,9.3,1.2,5.3
"Non-native vine",7,14,7.2,0.7,4
"Native tree",5,25,5.2,1.2,3.2
"Native sedge",4,15,4.1,0.7,2.4
"Native rush",1,2,1,0.1,0.6
"Non-native grass",1,2,1,0.1,0.6

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,10,245,3,11.6,7.3
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,11,157,3.3,7.5,5.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,8,170,2.4,8.1,5.3
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,12,87,3.6,4.1,3.9
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,5,127,1.5,6,3.8
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,8,81,2.4,3.8,3.1
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,6,76,1.8,3.6,2.7
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,6,75,1.8,3.6,2.7
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,12,28,3.6,1.3,2.5
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,9,48,2.7,2.3,2.5
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,9,34,2.7,1.6,2.2
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,10,29,3,1.4,2.2
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,7,44,2.1,2.1,2.1
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,5,51,1.5,2.4,2
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,3,62,0.9,2.9,1.9
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,7,31,2.1,1.5,1.8
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,5,34,1.5,1.6,1.6
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,8,15,2.4,0.7,1.6
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,4,41,1.2,1.9,1.6
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,20,2.1,0.9,1.5
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,7,17,2.1,0.8,1.5
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,32,1.5,1.5,1.5
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,7,14,2.1,0.7,1.4
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,2,45,0.6,2.1,1.4
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,6,16,1.8,0.8,1.3
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,5,16,1.5,0.8,1.2
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,5,18,1.5,0.9,1.2
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,5,13,1.5,0.6,1.1
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,3,25,0.9,1.2,1.1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,5,15,1.5,0.7,1.1
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,5,12,1.5,0.6,1.1
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,5,15,1.5,0.7,1.1
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,5,12,1.5,0.6,1.1
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,3,23,0.9,1.1,1
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,5,8,1.5,0.4,1
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,3,22,0.9,1,1
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,3,20,0.9,0.9,0.9
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,4,12,1.2,0.6,0.9
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,3,15,0.9,0.7,0.8
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,4,6,1.2,0.3,0.8
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,25,0.3,1.2,0.8
"Erigeron annuus",Asteraceae,ERIANN,native,0,1,forb,biennial,3,14,0.9,0.7,0.8
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,3,12,0.9,0.6,0.8
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,3,13,0.9,0.6,0.8
"Prunus serotina",Rosaceae,PRUSER,native,1,1,tree,perennial,2,17,0.6,0.8,0.7
"Ratibida pinnata",Asteraceae,RATPIN,native,4,2,forb,perennial,3,8,0.9,0.4,0.7
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,3,8,0.9,0.4,0.7
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,2,14,0.6,0.7,0.7
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,3,4,0.9,0.2,0.6
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,5,0.9,0.2,0.6
"Cirsium vulgare",Asteraceae,CIRVUL,non-native,0,1,forb,biennial,2,13,0.6,0.6,0.6
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,3,6,0.9,0.3,0.6
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,3,6,0.9,0.3,0.6
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,2,8,0.6,0.4,0.5
"Rudbeckia triloba",Asteraceae,RUDTRI,native,3,1,forb,annual,2,8,0.6,0.4,0.5
"Trillium recurvatum",Liliaceae,TRIREC,native,5,1,forb,perennial,3,3,0.9,0.1,0.5
"Tradescantia ohiensis",Commelinaceae,TRAOHI,native,2,1,forb,perennial,2,6,0.6,0.3,0.5
"Campanulastrum americanum; campanula americana",Campanulaceae,CAMAME,native,3,0,forb,annual,1,14,0.3,0.7,0.5
"Aquilegia canadensis",Ranunculaceae,AQUCAN,native,6,1,forb,perennial,2,3,0.6,0.1,0.4
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,2,4,0.6,0.2,0.4
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,2,3,0.6,0.1,0.4
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,3,0.6,0.1,0.4
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,2,2,0.6,0.1,0.4
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,1,10,0.3,0.5,0.4
"Sorghastrum nutans",Poaceae,SORNUT,native,5,1,grass,perennial,1,10,0.3,0.5,0.4
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,2,4,0.6,0.2,0.4
"Carya ovata",Juglandaceae,CAROVT,native,5,1,tree,perennial,1,5,0.3,0.2,0.3
"Hypericum perforatum",Clusiaceae,HYPPER,non-native,0,1,forb,perennial,1,5,0.3,0.2,0.3
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,1,7,0.3,0.3,0.3
"Cirsium discolor",Asteraceae,CIRDIS,native,2,1,forb,biennial,1,4,0.3,0.2,0.3
"Erigeron canadensis",Asteraceae,ERICAN,native,0,1,forb,annual,1,5,0.3,0.2,0.3
