"Vestal Grove All 1991"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.7
"Native Mean C:",4.2
"Total FQI:",41.9
"Native FQI:",44.4
"Cover-weighted FQI:",44.1
"Cover-weighted Native FQI:",46.6
"Adjusted FQI:",39.3
"% C value 0:",17.2
"% C value 1-3:",24.2
"% C value 4-6:",42.2
"% C value 7-10:",16.4

"Species Richness:"
"Total Species:",128
"Native Species:",112,87.5%
"Non-native Species:",16,12.5%

"Species Wetness:"
"Mean Wetness:",0.2
"Native Mean Wetness:",0.2

"Duration Metrics:"
Annual:,12,9.4%
Perennial:,111,86.7%
Biennial:,5,3.9%
"Native Annual:",11,8.6%
"Native Perennial:",99,77.3%
"Native Biennial:",2,1.6%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",272,1627,212.5,68.1,140.3
"Native grass",28,184,21.9,7.7,14.8
"Native shrub",22,221,17.2,9.3,13.3
"Non-native shrub",14,236,10.9,9.9,10.4
"Non-native forb",14,39,10.9,1.6,6.3
"Native sedge",9,40,7,1.7,4.4
"Native vine",8,21,6.3,0.9,3.6
"Native tree",7,11,5.5,0.5,3
"Non-native grass",3,6,2.3,0.3,1.3
"Native rush",1,2,0.8,0.1,0.5
"Non-native tree",1,2,0.8,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,14,229,3.7,9.6,6.7
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,9,204,2.4,8.5,5.5
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,9,131,2.4,5.5,4
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,6,126,1.6,5.3,3.5
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,8,81,2.1,3.4,2.8
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,7,69,1.8,2.9,2.4
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,7,67,1.8,2.8,2.3
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,9,49,2.4,2.1,2.3
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,10,44,2.6,1.8,2.2
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,6,63,1.6,2.6,2.1
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,5,65,1.3,2.7,2
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,6,50,1.6,2.1,1.9
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,46,1.6,1.9,1.8
"Packera paupercula; senecio pauperculus",Asteraceae,PACPAU,native,6,0,forb,perennial,1,80,0.3,3.3,1.8
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,58,1.1,2.4,1.8
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,56,1.1,2.3,1.7
"Pilea pumila",Urticaceae,PILPUM,native,5,-1,forb,annual,10,19,2.6,0.8,1.7
