"Vestal Grove All 1993"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.9
"Native Mean C:",4.3
"Total FQI:",38.8
"Native FQI:",41
"Cover-weighted FQI:",36.8
"Cover-weighted Native FQI:",38.2
"Adjusted FQI:",41.2
"% C value 0:",14.1
"% C value 1-3:",24.2
"% C value 4-6:",45.5
"% C value 7-10:",16.2

"Species Richness:"
"Total Species:",99
"Native Species:",91,91.9%
"Non-native Species:",8,8.1%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,6,6.1%
Perennial:,88,88.9%
Biennial:,5,5.1%
"Native Annual:",6,6.1%
"Native Perennial:",81,81.8%
"Native Biennial:",4,4%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",216,1486,218.2,67.6,142.9
"Native grass",33,171,33.3,7.8,20.6
"Native shrub",20,250,20.2,11.4,15.8
"Non-native shrub",10,115,10.1,5.2,7.7
"Native sedge",10,66,10.1,3,6.6
"Non-native forb",8,80,8.1,3.6,5.9
"Native vine",4,12,4,0.5,2.3
"Native tree",3,8,3,0.4,1.7
"Non-native tree",2,3,2,0.1,1.1
"Non-native grass",1,5,1,0.2,0.6
"Native rush",1,2,1,0.1,0.6
"Non-native vine",1,1,1,0,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,12,455,3.9,20.7,12.3
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,6,134,1.9,6.1,4
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,7,99,2.3,4.5,3.4
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,12,60,3.9,2.7,3.3
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,97,1.3,4.4,2.9
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,7,69,2.3,3.1,2.7
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,11,28,3.6,1.3,2.5
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,5,75,1.6,3.4,2.5
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,5,71,1.6,3.2,2.4
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,6,61,1.9,2.8,2.4
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,5,64,1.6,2.9,2.3
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,9,30,2.9,1.4,2.2
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,6,51,1.9,2.3,2.1
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,6,49,1.9,2.2,2.1
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,3,65,1,3,2
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,8,24,2.6,1.1,1.9
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,21,2.6,1,1.8
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,23,2.6,1,1.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,4,44,1.3,2,1.7
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,34,1.6,1.5,1.6
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,4,42,1.3,1.9,1.6
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,14,2.3,0.6,1.5
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,8,9,2.6,0.4,1.5
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,6,17,1.9,0.8,1.4
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,5,22,1.6,1,1.3
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,5,16,1.6,0.7,1.2
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,6,10,1.9,0.5,1.2
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,2,33,0.6,1.5,1.1
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,2,35,0.6,1.6,1.1
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,5,8,1.6,0.4,1
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,4,11,1.3,0.5,0.9
"Elymus villosus",Poaceae,ELYVIL,native,5,1,grass,perennial,4,8,1.3,0.4,0.9
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,3,15,1,0.7,0.9
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,3,16,1,0.7,0.9
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,4,11,1.3,0.5,0.9
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,4,9,1.3,0.4,0.9
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,4,9,1.3,0.4,0.9
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,2,20,0.6,0.9,0.8
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,4,7,1.3,0.3,0.8
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,3,11,1,0.5,0.8
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,3,14,1,0.6,0.8
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,2,22,0.6,1,0.8
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,7,1,0.3,0.7
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,3,9,1,0.4,0.7
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,6,1,0.3,0.7
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,25,0.3,1.1,0.7
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,16,0.6,0.7,0.7
"Vernonia fasciculata",Asteraceae,VERFAS,native,5,-1,forb,perennial,1,18,0.3,0.8,0.6
"Persicaria punctata; polygonum punctatum",Polygonaceae,PERPUN,native,6,-2,forb,annual,3,5,1,0.2,0.6
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,1,20,0.3,0.9,0.6
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,2,6,0.6,0.3,0.5
"Dasistoma macrophylla; seymeria macrophylla",Scrophulariaceae,DASMAC,native,8,1,forb,perennial,1,15,0.3,0.7,0.5
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,2,8,0.6,0.4,0.5
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,2,7,0.6,0.3,0.5
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,1,15,0.3,0.7,0.5
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,2,7,0.6,0.3,0.5
"Prunella vulgaris ssp. lanceolata; prunella vulgaris lanceolata",Lamiaceae,PRUVULL,native,0,0,forb,perennial,2,2,0.6,0.1,0.4
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,2,4,0.6,0.2,0.4
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,2,4,0.6,0.2,0.4
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,2,4,0.6,0.2,0.4
"Erigeron annuus",Asteraceae,ERIANN,native,0,1,forb,biennial,2,4,0.6,0.2,0.4
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,2,3,0.6,0.1,0.4
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,2,2,0.6,0.1,0.4
"Parthenium integrifolium",Asteraceae,PARINT,native,8,2,forb,perennial,2,4,0.6,0.2,0.4
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,3,0.6,0.1,0.4
"Eryngium yuccifolium",Apiaceae,ERYYUC,native,9,0,forb,perennial,2,5,0.6,0.2,0.4
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,2,3,0.6,0.1,0.4
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,2,3,0.6,0.1,0.4
"Solidago flexicaulis",Asteraceae,SOLFLE,native,7,1,forb,perennial,1,10,0.3,0.5,0.4
"Populus deltoides",Salicaceae,POPDEL,native,2,0,tree,perennial,1,5,0.3,0.2,0.3
"Helianthus grosseserratus",Asteraceae,HELGRO,native,2,-1,forb,perennial,1,5,0.3,0.2,0.3
"Poa compressa",Poaceae,POACOM,non-native,0,1,grass,perennial,1,5,0.3,0.2,0.3
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,1,5,0.3,0.2,0.3
"Liatris spicata",Asteraceae,LIASPI,native,6,0,forb,perennial,1,5,0.3,0.2,0.3
"Epilobium coloratum",Onagraceae,EPICOL,native,3,-2,forb,perennial,1,1,0.3,0,0.2
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,1,3,0.3,0.1,0.2
"Viola pubescens",Violaceae,VIOPUB,native,5,1,forb,perennial,1,1,0.3,0,0.2
