"Vestal Grove All 1995"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.3
"Native Mean C:",4.5
"Total FQI:",45.1
"Native FQI:",45.9
"Cover-weighted FQI:",40.9
"Cover-weighted Native FQI:",41.8
"Adjusted FQI:",43.8
"% C value 0:",9.1
"% C value 1-3:",22.7
"% C value 4-6:",48.2
"% C value 7-10:",20

"Species Richness:"
"Total Species:",110
"Native Species:",104,94.5%
"Non-native Species:",6,5.5%

"Species Wetness:"
"Mean Wetness:",0.3
"Native Mean Wetness:",0.3

"Duration Metrics:"
Annual:,8,7.3%
Perennial:,100,90.9%
Biennial:,2,1.8%
"Native Annual:",8,7.3%
"Native Perennial:",94,85.5%
"Native Biennial:",2,1.8%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",226,2145,205.5,75.2,140.4
"Native grass",24,231,21.8,8.1,15
"Native sedge",12,102,10.9,3.6,7.3
"Non-native shrub",9,151,8.2,5.3,6.8
"Native vine",13,42,11.8,1.5,6.7
"Native shrub",9,84,8.2,2.9,5.6
"Non-native forb",9,46,8.2,1.6,4.9
"Native tree",4,36,3.6,1.3,2.5
"Native rush",2,12,1.8,0.4,1.1
"Non-native tree",1,2,0.9,0.1,0.5
"Non-native vine",1,3,0.9,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,13,550,4.2,19.3,11.8
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,10,247,3.2,8.7,6
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,11,150,3.5,5.3,4.4
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,6,128,1.9,4.5,3.2
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,6,111,1.9,3.9,2.9
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,10,59,3.2,2.1,2.7
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,5,95,1.6,3.3,2.5
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,8,65,2.6,2.3,2.5
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,9,42,2.9,1.5,2.2
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,3,93,1,3.3,2.2
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,46,2.6,1.6,2.1
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,9,33,2.9,1.2,2.1
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,65,1.6,2.3,2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,44,2.3,1.5,1.9
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,7,37,2.3,1.3,1.8
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,7,28,2.3,1,1.7
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,5,52,1.6,1.8,1.7
