"Vestal Grove All 1998"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.2
"Native Mean C:",4.4
"Total FQI:",43.2
"Native FQI:",44
"Cover-weighted FQI:",45.3
"Cover-weighted Native FQI:",46
"Adjusted FQI:",42.7
"% C value 0:",8.5
"% C value 1-3:",24.5
"% C value 4-6:",50.9
"% C value 7-10:",16

"Species Richness:"
"Total Species:",106
"Native Species:",100,94.3%
"Non-native Species:",6,5.7%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,6,5.7%
Perennial:,98,92.5%
Biennial:,2,1.9%
"Native Annual:",6,5.7%
"Native Perennial:",92,86.8%
"Native Biennial:",2,1.9%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",293,2281,276.4,74.8,175.6
"Native shrub",25,228,23.6,7.5,15.6
"Native grass",20,142,18.9,4.7,11.8
"Non-native shrub",14,218,13.2,7.1,10.2
"Native vine",12,51,11.3,1.7,6.5
"Native tree",7,59,6.6,1.9,4.3
"Native sedge",6,48,5.7,1.6,3.7
"Non-native forb",6,11,5.7,0.4,3.1
"Non-native tree",2,7,1.9,0.2,1.1
"Native rush",2,2,1.9,0.1,1
"Non-native grass",1,2,0.9,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,17,367,4.4,12,8.2
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,13,215,3.4,7.1,5.3
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,10,210,2.6,6.9,4.8
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,12,145,3.1,4.8,4
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,10,148,2.6,4.9,3.8
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,7,140,1.8,4.6,3.2
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,8,97,2.1,3.2,2.7
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,11,55,2.8,1.8,2.3
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,101,1.3,3.3,2.3
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,6,90,1.5,3,2.3
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,8,71,2.1,2.3,2.2
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,10,48,2.6,1.6,2.1
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,10,50,2.6,1.6,2.1
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,10,48,2.6,1.6,2.1
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,12,34,3.1,1.1,2.1
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,8,51,2.1,1.7,1.9
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,6,63,1.5,2.1,1.8
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,9,41,2.3,1.3,1.8
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,10,15,2.6,0.5,1.6
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,8,17,2.1,0.6,1.4
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,5,43,1.3,1.4,1.4
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,8,17,2.1,0.6,1.4
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,65,0.5,2.1,1.3
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,8,12,2.1,0.4,1.3
"Helenium autumnale",Asteraceae,HELAUT,native,5,-1,forb,perennial,2,60,0.5,2,1.3
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,5,34,1.3,1.1,1.2
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,2,55,0.5,1.8,1.2
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,5,24,1.3,0.8,1.1
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,7,9,1.8,0.3,1.1
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,5,24,1.3,0.8,1.1
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,4,27,1,0.9,1
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,6,14,1.5,0.5,1
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,6,14,1.5,0.5,1
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,28,1,0.9,1
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,6,9,1.5,0.3,0.9
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,35,0.5,1.1,0.8
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,30,0.5,1,0.8
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,22,0.8,0.7,0.8
"Ranunculus recurvatus",Ranunculaceae,RANREC,native,5,-1,forb,annual,4,17,1,0.6,0.8
"Solidago flexicaulis",Asteraceae,SOLFLE,native,7,1,forb,perennial,1,40,0.3,1.3,0.8
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,2,35,0.5,1.1,0.8
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,4,18,1,0.6,0.8
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,2,25,0.5,0.8,0.7
"Fraxinus pennsylvanica; fraxinus pennsylvanica subintegerrima",Oleaceae,FRAPEN,native,1,-1,tree,perennial,1,30,0.3,1,0.7
"Vernonia fasciculata",Asteraceae,VERFAS,native,5,-1,forb,perennial,1,30,0.3,1,0.7
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,4,8,1,0.3,0.7
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,4,10,1,0.3,0.7
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,13,1,0.4,0.7
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,4,8,1,0.3,0.7
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,4,9,1,0.3,0.7
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,3,10,0.8,0.3,0.6
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,2,20,0.5,0.7,0.6
"Prunella vulgaris ssp. lanceolata; prunella vulgaris lanceolata",Lamiaceae,PRUVULL,native,0,0,forb,perennial,3,8,0.8,0.3,0.6
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,4,7,1,0.2,0.6
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,3,7,0.8,0.2,0.5
"Tradescantia ohiensis",Commelinaceae,TRAOHI,native,2,1,forb,perennial,2,11,0.5,0.4,0.5
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,2,7,0.5,0.2,0.4
"Taenidia integerrima",Apiaceae,TAEINT,native,9,2,forb,perennial,2,5,0.5,0.2,0.4
"Ostrya virginiana",Betulaceae,OSTVIR,native,5,1,tree,perennial,1,15,0.3,0.5,0.4
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,2,7,0.5,0.2,0.4
"Dioscorea villosa",Dioscoreaceae,DIOVIL,native,7,0,vine,perennial,1,15,0.3,0.5,0.4
