"Vestal Grove All 2000"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.1
"Native Mean C:",4.4
"Total FQI:",40.2
"Native FQI:",41.7
"Cover-weighted FQI:",41.2
"Cover-weighted Native FQI:",42.7
"Adjusted FQI:",42.6
"% C value 0:",10.4
"% C value 1-3:",25
"% C value 4-6:",44.8
"% C value 7-10:",19.8

"Species Richness:"
"Total Species:",96
"Native Species:",90,93.8%
"Non-native Species:",6,6.3%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,5,5.2%
Perennial:,86,89.6%
Biennial:,5,5.2%
"Native Annual:",5,5.2%
"Native Perennial:",81,84.4%
"Native Biennial:",4,4.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",185,1788,192.7,61.8,127.3
"Non-native shrub",20,437,20.8,15.1,18
"Native shrub",19,410,19.8,14.2,17
"Native grass",18,54,18.8,1.9,10.4
"Native vine",13,67,13.5,2.3,7.9
"Native sedge",11,78,11.5,2.7,7.1
"Native tree",6,42,6.3,1.5,3.9
"Non-native tree",4,10,4.2,0.3,2.3
"Non-native forb",2,3,2.1,0.1,1.1
"Non-native grass",2,3,2.1,0.1,1.1

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,14,412,5,14.2,9.6
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,15,258,5.4,8.9,7.2
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,10,233,3.6,8.1,5.9
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,9,181,3.2,6.3,4.8
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,5,210,1.8,7.3,4.6
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,10,126,3.6,4.4,4
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,9,119,3.2,4.1,3.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,141,1.8,4.9,3.4
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,6,120,2.1,4.1,3.1
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,9,71,3.2,2.5,2.9
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,6,88,2.1,3,2.6
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,8,29,2.9,1,2
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,85,0.7,2.9,1.8
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,6,33,2.1,1.1,1.6
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,6,25,2.1,0.9,1.5
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,4,47,1.4,1.6,1.5
