"Vestal Grove All 2003"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.1
"Native Mean C:",4.4
"Total FQI:",39.8
"Native FQI:",41.3
"Cover-weighted FQI:",38.8
"Cover-weighted Native FQI:",40.3
"Adjusted FQI:",42.6
"% C value 0:",7.4
"% C value 1-3:",28.7
"% C value 4-6:",46.8
"% C value 7-10:",17

"Species Richness:"
"Total Species:",94
"Native Species:",88,93.6%
"Non-native Species:",6,6.4%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,4,4.3%
Perennial:,86,91.5%
Biennial:,4,4.3%
"Native Annual:",4,4.3%
"Native Perennial:",82,87.2%
"Native Biennial:",2,2.1%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",214,1903,227.7,67.2,147.5
"Native shrub",17,205,18.1,7.2,12.7
"Non-native shrub",13,316,13.8,11.2,12.5
"Native grass",17,158,18.1,5.6,11.9
"Native vine",11,53,11.7,1.9,6.8
"Native sedge",8,98,8.5,3.5,6
"Non-native forb",8,49,8.5,1.7,5.1
"Native tree",8,40,8.5,1.4,5
"Non-native tree",3,9,3.2,0.3,1.8

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,14,334,4.7,11.8,8.3
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,13,316,4.3,11.2,7.8
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,13,136,4.3,4.8,4.6
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,13,102,4.3,3.6,4
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,11,115,3.7,4.1,3.9
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,9,127,3,4.5,3.8
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,100,2.7,3.5,3.1
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,7,109,2.3,3.9,3.1
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,6,100,2,3.5,2.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,6,96,2,3.4,2.7
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,9,68,3,2.4,2.7
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,7,82,2.3,2.9,2.6
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,5,85,1.7,3,2.4
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,8,29,2.7,1,1.9
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,7,35,2.3,1.2,1.8
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,28,2.3,1,1.7
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,3,68,1,2.4,1.7
