"Vestal Grove All 2005"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.3
"Native Mean C:",4.6
"Total FQI:",46.7
"Native FQI:",48
"Cover-weighted FQI:",46.7
"Cover-weighted Native FQI:",48
"Adjusted FQI:",44.2
"% C value 0:",11
"% C value 1-3:",24.6
"% C value 4-6:",40.7
"% C value 7-10:",23.7

"Species Richness:"
"Total Species:",118
"Native Species:",109,92.4%
"Non-native Species:",9,7.6%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.3

"Duration Metrics:"
Annual:,8,6.8%
Perennial:,106,89.8%
Biennial:,4,3.4%
"Native Annual:",8,6.8%
"Native Perennial:",99,83.9%
"Native Biennial:",2,1.7%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",265,2177,224.6,73.8,149.2
"Native grass",26,274,22,9.3,15.7
"Native sedge",17,203,14.4,6.9,10.7
"Native vine",16,73,13.6,2.5,8.1
"Native shrub",13,54,11,1.8,6.4
"Non-native shrub",10,92,8.5,3.1,5.8
"Non-native forb",11,50,9.3,1.7,5.5
"Native tree",3,8,2.5,0.3,1.4
"Non-native tree",1,8,0.8,0.3,0.6
"Non-native grass",1,8,0.8,0.3,0.6
"Native rush",1,2,0.8,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,11,230,3,7.8,5.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,12,208,3.3,7.1,5.2
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,10,187,2.7,6.3,4.5
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,166,2.2,5.6,3.9
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,7,154,1.9,5.2,3.6
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,8,138,2.2,4.7,3.5
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,15,54,4.1,1.8,3
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,10,92,2.7,3.1,2.9
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,10,81,2.7,2.7,2.7
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,8,82,2.2,2.8,2.5
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,3,125,0.8,4.2,2.5
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,7,71,1.9,2.4,2.2
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,10,35,2.7,1.2,2
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,8,48,2.2,1.6,1.9
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,7,54,1.9,1.8,1.9
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,8,34,2.2,1.2,1.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,6,49,1.6,1.7,1.7
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,6,40,1.6,1.4,1.5
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,55,1.1,1.9,1.5
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,6,27,1.6,0.9,1.3
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,7,20,1.9,0.7,1.3
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,3,50,0.8,1.7,1.3
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,4,36,1.1,1.2,1.2
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,5,28,1.4,0.9,1.2
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,7,10,1.9,0.3,1.1
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,5,21,1.4,0.7,1.1
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,4,25,1.1,0.8,1
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,3,31,0.8,1.1,1
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,5,18,1.4,0.6,1
"Hedeoma pulegioides",Lamiaceae,HEDPUL,native,3,2,forb,annual,1,50,0.3,1.7,1
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,27,1.1,0.9,1
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,4,25,1.1,0.8,1
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,10,1.6,0.3,1
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,3,27,0.8,0.9,0.9
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,5,12,1.4,0.4,0.9
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,4,21,1.1,0.7,0.9
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,5,10,1.4,0.3,0.9
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,16,1.1,0.5,0.8
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,4,11,1.1,0.4,0.8
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,23,0.8,0.8,0.8
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,2,30,0.5,1,0.8
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,4,9,1.1,0.3,0.7
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,2,23,0.5,0.8,0.7
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,3,17,0.8,0.6,0.7
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,2,25,0.5,0.8,0.7
"Heliopsis helianthoides",Asteraceae,HELHEL,native,5,1,forb,perennial,1,25,0.3,0.8,0.6
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,4,4,1.1,0.1,0.6
"Helianthus grosseserratus",Asteraceae,HELGRO,native,2,-1,forb,perennial,1,25,0.3,0.8,0.6
"Alliaria petiolata",Brassicaceae,ALLPET,non-native,0,0,forb,biennial,3,10,0.8,0.3,0.6
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,3,9,0.8,0.3,0.6
"Pycnanthemum virginianum",Lamiaceae,PYCVIR,native,5,-1,forb,perennial,1,25,0.3,0.8,0.6
"Chenopodium simplex; chenopodium hybridum gigantospermum",Chenopodiaceae,CHEHYB,native,3,2,forb,annual,3,12,0.8,0.4,0.6
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,2,21,0.5,0.7,0.6
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,2,12,0.5,0.4,0.5
"Helianthus maximilianii",Asteraceae,HELMAX,non-native,0,2,forb,perennial,2,12,0.5,0.4,0.5
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,3,4,0.8,0.1,0.5
"Tradescantia ohiensis",Commelinaceae,TRAOHI,native,2,1,forb,perennial,2,11,0.5,0.4,0.5
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,2,16,0.5,0.5,0.5
"Fraxinus pennsylvanica; fraxinus pennsylvanica subintegerrima",Oleaceae,FRAPEN,native,1,-1,tree,perennial,2,6,0.5,0.2,0.4
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,1,15,0.3,0.5,0.4
"Cardamine concatenata; dentaria laciniata",Brassicaceae,CARCON,native,5,1,forb,perennial,2,9,0.5,0.3,0.4
"Carex grayi",Cyperaceae,CXGRAY,native,7,-1,sedge,perennial,2,10,0.5,0.3,0.4
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,2,7,0.5,0.2,0.4
"Ranunculus recurvatus",Ranunculaceae,RANREC,native,5,-1,forb,annual,2,6,0.5,0.2,0.4
"Carex normalis",Cyperaceae,CXNORM,native,5,-1,sedge,perennial,2,7,0.5,0.2,0.4
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,2,5,0.5,0.2,0.4
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,2,6,0.5,0.2,0.4
"Dioscorea villosa",Dioscoreaceae,DIOVIL,native,7,0,vine,perennial,1,15,0.3,0.5,0.4
"Carex granularis",Cyperaceae,CXGRAN,native,4,-1,sedge,perennial,1,5,0.3,0.2,0.3
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,1,5,0.3,0.2,0.3
"Toxicodendron radicans; rhus radicans",Anacardiaceae,RHURAD,native,2,0,vine,perennial,2,2,0.5,0.1,0.3
"Rosa palustris",Rosaceae,ROSPAL,native,7,-2,shrub,perennial,1,5,0.3,0.2,0.3
"Spartina pectinata",Poaceae,SPAPEC,native,4,-1,grass,perennial,1,10,0.3,0.3,0.3
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,1,8,0.3,0.3,0.3
"Carex tenera",Cyperaceae,CXTENE,native,8,-1,sedge,perennial,1,5,0.3,0.2,0.3
"Symphyotrichum novae-angliae; aster novae-angliae",Asteraceae,ASTNOV,native,4,-1,forb,perennial,1,5,0.3,0.2,0.3
"Anemone virginiana",Ranunculaceae,ANEVIR,native,5,1,forb,perennial,2,4,0.5,0.1,0.3
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,4,0.5,0.1,0.3
"Oxypolis rigidior",Apiaceae,OXYRIG,native,7,-2,forb,perennial,1,5,0.3,0.2,0.3
"Elymus villosus",Poaceae,ELYVIL,native,5,1,grass,perennial,1,5,0.3,0.2,0.3
"Carex davisii",Cyperaceae,CXDAVI,native,7,0,sedge,perennial,1,6,0.3,0.2,0.3
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,5,0.3,0.2,0.3
"Uvularia grandiflora",Cohchicaceae,UVUGRA,native,7,2,forb,perennial,1,5,0.3,0.2,0.3
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,1,5,0.3,0.2,0.3
"Solidago flexicaulis",Asteraceae,SOLFLE,native,7,1,forb,perennial,1,8,0.3,0.3,0.3
"Eupatorium perfoliatum",Asteraceae,EUPPER,native,4,-2,forb,perennial,1,5,0.3,0.2,0.3
"Poa compressa",Poaceae,POACOM,non-native,0,1,grass,perennial,1,8,0.3,0.3,0.3
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,2,4,0.5,0.1,0.3
"Parthenium integrifolium",Asteraceae,PARINT,native,8,2,forb,perennial,1,8,0.3,0.3,0.3
"Perideridia americana",Apiaceae,PERAME,native,8,2,forb,perennial,1,3,0.3,0.1,0.2
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,3,0.3,0.1,0.2
"Daucus carota",Apiaceae,DAUCAR,non-native,0,2,forb,biennial,1,1,0.3,0,0.2
"Packera paupercula; senecio pauperculus",Asteraceae,PACPAU,native,6,0,forb,perennial,1,2,0.3,0.1,0.2
"Poa palustris",Poaceae,POAPAS,native,9,-1,grass,perennial,1,1,0.3,0,0.2
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,1,2,0.3,0.1,0.2
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,1,1,0.3,0,0.2
