"Vestal Grove All 2007"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.2
"Native Mean C:",4.5
"Total FQI:",43.2
"Native FQI:",45
"Cover-weighted FQI:",46.3
"Cover-weighted Native FQI:",47
"Adjusted FQI:",43.7
"% C value 0:",8.5
"% C value 1-3:",22.6
"% C value 4-6:",51.9
"% C value 7-10:",17

"Species Richness:"
"Total Species:",106
"Native Species:",100,94.3%
"Non-native Species:",6,5.7%

"Species Wetness:"
"Mean Wetness:",0.3
"Native Mean Wetness:",0.3

"Duration Metrics:"
Annual:,7,6.6%
Perennial:,98,92.5%
Biennial:,1,0.9%
"Native Annual:",7,6.6%
"Native Perennial:",92,86.8%
"Native Biennial:",1,0.9%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",254,2370,239.6,72,155.8
"Native grass",42,478,39.6,14.5,27.1
"Native sedge",21,199,19.8,6,12.9
"Native vine",14,104,13.2,3.2,8.2
"Non-native shrub",9,54,8.5,1.6,5.1
"Native tree",9,25,8.5,0.8,4.7
"Non-native forb",4,23,3.8,0.7,2.3
"Native shrub",3,17,2.8,0.5,1.7
"Non-native tree",2,18,1.9,0.5,1.2
"Non-native grass",1,2,0.9,0.1,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,9,210,2.5,6.4,4.5
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,198,2.8,6,4.4
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,11,175,3.1,5.3,4.2
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,202,2.2,6.1,4.2
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,8,180,2.2,5.5,3.9
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,14,74,3.9,2.2,3.1
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,5,128,1.4,3.9,2.7
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,9,92,2.5,2.8,2.7
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,9,91,2.5,2.8,2.7
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,9,78,2.5,2.4,2.5
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,4,128,1.1,3.9,2.5
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,7,88,1.9,2.7,2.3
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,5,100,1.4,3,2.2
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,9,61,2.5,1.9,2.2
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,9,54,2.5,1.6,2.1
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,9,55,2.5,1.7,2.1
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,3,95,0.8,2.9,1.9
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,9,34,2.5,1,1.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,7,55,1.9,1.7,1.8
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,8,42,2.2,1.3,1.8
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,6,52,1.7,1.6,1.7
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,8,31,2.2,0.9,1.6
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,6,46,1.7,1.4,1.6
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,7,27,1.9,0.8,1.4
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,6,22,1.7,0.7,1.2
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,38,1.1,1.2,1.2
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,2,50,0.6,1.5,1.1
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,5,23,1.4,0.7,1.1
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,5,27,1.4,0.8,1.1
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,5,15,1.4,0.5,1
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,5,16,1.4,0.5,1
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,4,24,1.1,0.7,0.9
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,5,11,1.4,0.3,0.9
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,4,16,1.1,0.5,0.8
