"Vestal Grove All 2009"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.4
"Native Mean C:",4.7
"Total FQI:",45.5
"Native FQI:",47.5
"Cover-weighted FQI:",48.6
"Cover-weighted Native FQI:",48.5
"Adjusted FQI:",45.9
"% C value 0:",7.5
"% C value 1-3:",21.5
"% C value 4-6:",49.5
"% C value 7-10:",21.5

"Species Richness:"
"Total Species:",107
"Native Species:",102,95.3%
"Non-native Species:",5,4.7%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,7,6.5%
Perennial:,98,91.6%
Biennial:,2,1.9%
"Native Annual:",7,6.5%
"Native Perennial:",94,87.9%
"Native Biennial:",1,0.9%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",245,3083,229,82.3,155.7
"Native grass",25,292,23.4,7.8,15.6
"Native sedge",14,163,13.1,4.4,8.8
"Native vine",15,118,14,3.2,8.6
"Non-native shrub",5,34,4.7,0.9,2.8
"Native tree",5,25,4.7,0.7,2.7
"Non-native forb",5,10,4.7,0.3,2.5
"Native shrub",3,15,2.8,0.4,1.6
"Native rush",1,5,0.9,0.1,0.5
"Non-native tree",1,1,0.9,0,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",Asteraceae,HELSTR,native,5,2,forb,perennial,11,488,3.4,13,8.2
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,13,235,4.1,6.3,5.2
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,10,195,3.1,5.2,4.2
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,207,2.5,5.5,4
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,8,189,2.5,5,3.8
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,13,118,4.1,3.2,3.7
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,6,200,1.9,5.3,3.6
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,9,132,2.8,3.5,3.2
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,6,135,1.9,3.6,2.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,6,110,1.9,2.9,2.4
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,8,62,2.5,1.7,2.1
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,8,63,2.5,1.7,2.1
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,5,90,1.6,2.4,2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,9,46,2.8,1.2,2
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,9,34,2.8,0.9,1.9
"Thalictrum revolutum",Ranunculaceae,THAREV,native,6,0,forb,perennial,4,75,1.3,2,1.7
