"Vestal Grove All 2011"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.4
"Native Mean C:",4.6
"Total FQI:",42.7
"Native FQI:",43.6
"Cover-weighted FQI:",49.4
"Cover-weighted Native FQI:",48.4
"Adjusted FQI:",45
"% C value 0:",7.4
"% C value 1-3:",22.3
"% C value 4-6:",50
"% C value 7-10:",20.2

"Species Richness:"
"Total Species:",94
"Native Species:",90,95.7%
"Non-native Species:",4,4.3%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,9,9.6%
Perennial:,82,87.2%
Biennial:,3,3.2%
"Native Annual:",9,9.6%
"Native Perennial:",79,84%
"Native Biennial:",2,2.1%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",241,3105,256.4,85.5,171
"Native grass",18,157,19.1,4.3,11.7
"Native vine",12,218,12.8,6,9.4
"Non-native shrub",7,30,7.4,0.8,4.1
"Native sedge",5,52,5.3,1.4,3.4
"Native shrub",4,30,4.3,0.8,2.6
"Native tree",3,30,3.2,0.8,2
"Non-native forb",3,3,3.2,0.1,1.7
"Non-native tree",1,5,1.1,0.1,0.6

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",Asteraceae,HELSTR,native,5,2,forb,perennial,14,840,4.8,23.1,14
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,255,3.4,7,5.2
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,263,2.4,7.2,4.8
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,9,178,3.1,4.9,4
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,9,121,3.1,3.3,3.2
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,5,140,1.7,3.9,2.8
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,10,81,3.4,2.2,2.8
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,7,108,2.4,3,2.7
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,7,95,2.4,2.6,2.5
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,9,51,3.1,1.4,2.3
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,5,95,1.7,2.6,2.2
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,90,1.7,2.5,2.1
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,8,28,2.7,0.8,1.8
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,44,2,1.2,1.6
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,6,45,2,1.2,1.6
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,7,29,2.4,0.8,1.6
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,5,56,1.7,1.5,1.6
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,6,40,2,1.1,1.6
"Camassia scilloides",Liliaceae,CAMSCI,native,6,0,forb,perennial,5,52,1.7,1.4,1.6
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,7,30,2.4,0.8,1.6
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,6,35,2,1,1.5
"Trillium recurvatum",Liliaceae,TRIREC,native,5,1,forb,perennial,7,14,2.4,0.4,1.4
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,6,30,2,0.8,1.4
"Thalictrum revolutum",Ranunculaceae,THAREV,native,6,0,forb,perennial,3,60,1,1.7,1.4
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,3,50,1,1.4,1.2
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,5,26,1.7,0.7,1.2
"Lithospermum latifolium",Boraginaceae,LITLAT,native,9,2,forb,perennial,2,60,0.7,1.7,1.2
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,4,37,1.4,1,1.2
"Floerkea proserpinacoides",Limnanthaceae,FLOPRO,native,8,-1,forb,annual,3,40,1,1.1,1.1
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,3,28,1,0.8,0.9
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,35,0.7,1,0.9
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,30,1,0.8,0.9
"Penstemon calycosus",Scrophulariaceae,PENCAL,native,7,1,forb,perennial,4,15,1.4,0.4,0.9
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,4,10,1.4,0.3,0.9
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,4,16,1.4,0.4,0.9
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,25,1,0.7,0.9
"Sanguinaria canadensis",Papaveraceae,SANCAD,native,6,1,forb,perennial,3,19,1,0.5,0.8
"Boehmeria cylindrica; boehmeria cylindrica drummondiana",Urticaceae,BOECYL,native,2,-2,forb,perennial,3,17,1,0.5,0.8
"Polygonatum biflorum var. commutatum; polygonatum canaliculatum",Liliaceae,POLBIF,native,3,1,forb,perennial,3,21,1,0.6,0.8
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,2,30,0.7,0.8,0.8
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,3,16,1,0.4,0.7
"Carya ovata",Juglandaceae,CAROVT,native,5,1,tree,perennial,2,20,0.7,0.6,0.7
"Oxypolis rigidior",Apiaceae,OXYRIG,native,7,-2,forb,perennial,2,22,0.7,0.6,0.7
"Cardamine concatenata; dentaria laciniata",Brassicaceae,CARCON,native,5,1,forb,perennial,3,12,1,0.3,0.7
"Galium aparine",Rubiaceae,GALAPA,native,1,1,forb,annual,3,15,1,0.4,0.7
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,3,13,1,0.4,0.7
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,2,25,0.7,0.7,0.7
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,3,3,1,0.1,0.6
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,2,13,0.7,0.4,0.6
"Viola pubescens",Violaceae,VIOPUB,native,5,1,forb,perennial,2,18,0.7,0.5,0.6
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,2,9,0.7,0.2,0.5
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,2,12,0.7,0.3,0.5
"Helianthus grosseserratus",Asteraceae,HELGRO,native,2,-1,forb,perennial,1,20,0.3,0.6,0.5
"Heliopsis helianthoides",Asteraceae,HELHEL,native,5,1,forb,perennial,1,20,0.3,0.6,0.5
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,2,4,0.7,0.1,0.4
"Spartina pectinata",Poaceae,SPAPEC,native,4,-1,grass,perennial,1,15,0.3,0.4,0.4
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,2,0.7,0.1,0.4
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,2,3,0.7,0.1,0.4
"Lilium michiganense",Liliaceae,LILMIC,native,6,-1,forb,perennial,1,10,0.3,0.3,0.3
"Dioscorea villosa",Dioscoreaceae,DIOVIL,native,7,0,vine,perennial,1,12,0.3,0.3,0.3
"Coreopsis tripteris",Asteraceae,CORTRI,native,5,0,forb,perennial,1,12,0.3,0.3,0.3
"Fraxinus pennsylvanica; fraxinus pennsylvanica subintegerrima",Oleaceae,FRAPEN,native,1,-1,tree,perennial,1,10,0.3,0.3,0.3
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,1,10,0.3,0.3,0.3
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,1,8,0.3,0.2,0.3
"Carex davisii",Cyperaceae,CXDAVI,native,7,0,sedge,perennial,1,8,0.3,0.2,0.3
"Tradescantia ohiensis",Commelinaceae,TRAOHI,native,2,1,forb,perennial,1,3,0.3,0.1,0.2
"Rosa blanda",Rosaceae,ROSBLA,native,5,1,shrub,perennial,1,2,0.3,0.1,0.2
"Campanulastrum americanum; campanula americana",Campanulaceae,CAMAME,native,3,0,forb,annual,1,1,0.3,0,0.2
"Pycnanthemum virginianum",Lamiaceae,PYCVIR,native,5,-1,forb,perennial,1,1,0.3,0,0.2
"Brachyelytrum erectum",Poaceae,BRAERE,native,10,2,grass,perennial,1,1,0.3,0,0.2
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,1,1,0.3,0,0.2
"Triosteum aurantiacum",Caprifoliaceae,TRIOAU,native,5,2,forb,perennial,1,5,0.3,0.1,0.2
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,1,5,0.3,0.1,0.2
"Perideridia americana",Apiaceae,PERAME,native,8,2,forb,perennial,1,5,0.3,0.1,0.2
"Sanicula marilandica",Apiaceae,SANMAR,native,6,1,forb,perennial,1,1,0.3,0,0.2
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,1,1,0.3,0,0.2
"Plantago rugelii",Plantaginaceae,PLARUG,native,0,0,forb,annual,1,2,0.3,0.1,0.2
"Galium obtusum",Rubiaceae,GALOBT,native,5,-1,forb,perennial,1,3,0.3,0.1,0.2
"Lycopus americanus",Lamiaceae,LYCAME,native,5,-2,forb,perennial,1,5,0.3,0.1,0.2
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,4,0.3,0.1,0.2
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,1,5,0.3,0.1,0.2
"Alliaria petiolata",Brassicaceae,ALLPET,non-native,0,0,forb,biennial,1,1,0.3,0,0.2
"Uvularia grandiflora",Cohchicaceae,UVUGRA,native,7,2,forb,perennial,1,1,0.3,0,0.2
"Chenopodium standleyanum",Chenopodiaceae,CHESTA,native,4,2,forb,annual,1,1,0.3,0,0.2
"Ranunculus recurvatus",Ranunculaceae,RANREC,native,5,-1,forb,annual,1,5,0.3,0.1,0.2
"Polemonium reptans",Polemoniaceae,POLREP,native,5,0,forb,perennial,1,2,0.3,0.1,0.2
"Trillium grandiflorum; trillium grandiflorum",Liliaceae,TRIGRA,native,8,2,forb,perennial,1,2,0.3,0.1,0.2
"Eupatorium perfoliatum",Asteraceae,EUPPER,native,4,-2,forb,perennial,1,3,0.3,0.1,0.2
"Muhlenbergia mexicana",Poaceae,MUHMEX,native,5,-1,grass,perennial,1,3,0.3,0.1,0.2
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,1,2,0.3,0.1,0.2
"Symphyotrichum novae-angliae; aster novae-angliae",Asteraceae,ASTNOV,native,4,-1,forb,perennial,1,5,0.3,0.1,0.2
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,1,2,0.3,0.1,0.2
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,1,5,0.3,0.1,0.2
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,1,2,0.3,0.1,0.2

"Quadrat Level Metrics:"
Quadrat,"Species Richness","Native Species Richness","Total Mean C","Native Mean C","Total FQI","Native FQI","Cover-weighted FQI","Cover-weighted Native FQI","Adjusted FQI","Mean Wetness","Mean Native Wetness",Latitude,Longitude
4,14,13,4.3,4.6,16.1,16.6,21,20.6,44.3,0.5,0.5,n/a,n/a
5,16,16,5,5,20,20,24.4,24.4,50,0.2,0.2,n/a,n/a
6,10,10,5.4,5.4,17.1,17.1,17.1,17.1,54,0.5,0.5,n/a,n/a
7,15,14,4.2,4.5,16.3,16.8,17,16.8,43.5,0.5,0.5,n/a,n/a
8,15,15,4.6,4.6,17.8,17.8,20.1,20.1,46,0.9,0.9,n/a,n/a
9,24,24,5.2,5.2,25.5,25.5,24,24,52,0.7,0.7,n/a,n/a
10,16,16,3.8,3.8,15.2,15.2,16.8,16.8,38,0.2,0.2,n/a,n/a
11,12,11,4.6,5,15.9,16.6,17.3,16.9,47.9,0.8,0.8,n/a,n/a
12,14,12,4.1,4.8,15.3,16.6,18.3,17,44.4,1,1.2,n/a,n/a
13,15,14,4.4,4.7,17,17.6,19.8,19.5,45.4,0.7,0.6,n/a,n/a
14,19,19,4.2,4.2,18.3,18.3,20.1,20.1,42,0.1,0.1,n/a,n/a
15,14,14,5.1,5.1,19.1,19.1,20.2,20.2,51,0.7,0.7,n/a,n/a
16,15,15,3.9,3.9,15.1,15.1,20.5,20.5,39,0.5,0.5,n/a,n/a
17,13,13,4.6,4.6,16.6,16.6,19.1,19.1,46,0.7,0.7,n/a,n/a
18,18,17,4.6,4.8,19.5,19.8,20.4,20.2,46.6,-0.8,-0.8,n/a,n/a
19,7,7,4.4,4.4,11.6,11.6,13.5,13.5,44,0.9,0.9,n/a,n/a
20,13,12,3.8,4.1,13.7,14.2,15.1,18.4,39.4,0.4,0.4,n/a,n/a
21,12,12,5.3,5.3,18.4,18.4,19.1,19.1,53,0.9,0.9,n/a,n/a
22,17,16,4.3,4.6,17.7,18.4,24.7,24,44.6,0.9,0.9,n/a,n/a
23,15,13,4.1,4.8,15.9,17.3,20.9,20.2,44.7,1.1,1.2,n/a,n/a
Average,14.7,14.2,4.5,4.7,17.1,17.4,19.5,19.4,45.8,0.6,0.6,n/a,n/a
"Standard Deviation",3.4,3.4,0.5,0.4,2.7,2.7,2.8,2.6,4.4,0.4,0.4,n/a,n/a

"Quadrat 4 Species:"
"Scientific Name",Family,Acronym,"% Cover",Native?,C,W,Physiognomy,Duration,"Common Name"
"Allium canadense",Liliaceae,ALLCAN,5,native,2,1,forb,perennial,"meadow garlic; wild onion"
"Carex blanda",Cyperaceae,CXBLAN,5,native,1,0,sedge,perennial,"eastern woodland sedge; common wood sedge"
"Floerkea proserpinacoides",Limnanthaceae,FLOPRO,20,native,8,-1,forb,annual,"false mermaidweed; false mermaid"
"Galium aparine",Rubiaceae,GALAPA,3,native,1,1,forb,annual,"sticky-willy; annual bedstraw"
"Helianthus strumosus",Asteraceae,HELSTR,40,native,5,2,forb,perennial,"pale-leaf woodland sunflower; pale-leaved sunflower"
"Impatiens capensis",Balsaminaceae,IMPCAP,2,native,3,-1,forb,annual,"spotted touch-me-not; orange jewelweed"
"Leersia virginica",Poaceae,LEEVIR,2,native,7,-1,grass,perennial,"white grass"
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,20,native,5,0,forb,perennial,"bristly buttercup; swamp buttercup"
"Rhamnus cathartica",Rhamnaceae,RHACAT,1,non-native,0,0,shrub,perennial,"european buckthorn; common buckthorn"
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,5,native,9,1,forb,perennial,"sweet coneflower; sweet black-eyed susan"
"Silene stellata",Caryophyllaceae,SILSTE,15,native,6,2,forb,perennial,"starry campion"
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,10,native,5,2,vine,perennial,"common carrion flower"
"Solidago altissima",Asteraceae,SOLALT,15,native,1,1,forb,perennial,"tall goldenrod"
"Zizia aurea",Apiaceae,ZIZAUR,80,native,7,0,forb,perennial,"golden alexanders"

