"Vestal Grove All 2013"
2015-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.5
"Native Mean C:",4.7
"Total FQI:",46.8
"Native FQI:",47.7
"Cover-weighted FQI:",52
"Cover-weighted Native FQI:",50.7
"Adjusted FQI:",45.9
"% C value 0:",8.3
"% C value 1-3:",19.4
"% C value 4-6:",50.9
"% C value 7-10:",21.3

"Species Richness:"
"Total Species:",108
"Native Species:",103,95.4%
"Non-native Species:",5,4.6%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,6,5.6%
Perennial:,100,92.6%
Biennial:,2,1.9%
"Native Annual:",6,5.6%
"Native Perennial:",95,88%
"Native Biennial:",2,1.9%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",231,3057,213.9,83,148.5
"Native grass",29,254,26.9,6.9,16.9
"Native vine",15,255,13.9,6.9,10.4
"Native sedge",9,89,8.3,2.4,5.4
"Native shrub",4,14,3.7,0.4,2.1
"Non-native shrub",2,6,1.9,0.2,1.1
"Non-native forb",2,5,1.9,0.1,1
"Non-native grass",1,1,0.9,0,0.5
"Non-native tree",1,1,0.9,0,0.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",Asteraceae,HELSTR,native,5,2,forb,perennial,16,635,5.4,17.2,11.3
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,9,265,3.1,7.2,5.2
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,185,3.4,5,4.2
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,12,119,4.1,3.2,3.7
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,8,155,2.7,4.2,3.5
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,7,135,2.4,3.7,3.1
"Helianthus decapetalus",Asteraceae,HELDEC,native,5,2,forb,perennial,6,145,2,3.9,3
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,6,132,2,3.6,2.8
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,8,75,2.7,2,2.4
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,6,93,2,2.5,2.3
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,4,90,1.4,2.4,1.9
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,5,72,1.7,2,1.9
"Eupatorium perfoliatum",Asteraceae,EUPPER,native,4,-2,forb,perennial,2,98,0.7,2.7,1.7
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,6,52,2,1.4,1.7
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,6,48,2,1.3,1.7
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,7,34,2.4,0.9,1.7
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,6,49,2,1.3,1.7
"Thalictrum revolutum",Ranunculaceae,THAREV,native,6,0,forb,perennial,3,80,1,2.2,1.6
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,53,1.7,1.4,1.6
