"Vestal Grove 1995"
1995-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4
"Native Mean C:",4.3
"Total FQI:",36.2
"Native FQI:",37.7
"Cover-weighted FQI:",35.3
"Cover-weighted Native FQI:",36.9
"Adjusted FQI:",41.7
"% C value 0:",11
"% C value 1-3:",23.2
"% C value 4-6:",48.8
"% C value 7-10:",17.1

"Species Richness:"
"Total Species:",82
"Native Species:",77,93.9%
"Non-native Species:",5,6.1%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,7,8.5%
Perennial:,73,89%
Biennial:,2,2.4%
"Native Annual:",7,8.5%
"Native Perennial:",68,82.9%
"Native Biennial:",2,2.4%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",163,1608,198.8,75.4,137.1
"Native grass",20,173,24.4,8.1,16.3
"Native sedge",10,86,12.2,4,8.1
"Non-native shrub",7,145,8.5,6.8,7.7
"Native vine",10,32,12.2,1.5,6.9
"Non-native forb",7,42,8.5,2,5.3
"Native shrub",7,39,8.5,1.8,5.2
"Native tree",2,4,2.4,0.2,1.3
"Native rush",1,2,1.2,0.1,0.7
"Non-native vine",1,3,1.2,0.1,0.7

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,10,390,4.4,18.3,11.4
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,9,242,3.9,11.3,7.6
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,9,138,3.9,6.5,5.2
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,5,123,2.2,5.8,4
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,6,111,2.6,5.2,3.9
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,9,49,3.9,2.3,3.1
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,3,93,1.3,4.4,2.9
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,32,3.5,1.5,2.5
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,8,31,3.5,1.5,2.5
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,6,40,2.6,1.9,2.3
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,6,42,2.6,2,2.3
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,4,60,1.8,2.8,2.3
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,4,55,1.8,2.6,2.2
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,6,36,2.6,1.7,2.2
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,7,28,3.1,1.3,2.2
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,4,37,1.8,1.7,1.8
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,6,19,2.6,0.9,1.8
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,5,23,2.2,1.1,1.7
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,5,21,2.2,1,1.6
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,3,25,1.3,1.2,1.3
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,2,35,0.9,1.6,1.3
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,4,13,1.8,0.6,1.2
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,4,10,1.8,0.5,1.2
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,3,21,1.3,1,1.2
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,3,23,1.3,1.1,1.2
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,3,16,1.3,0.7,1
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,3,14,1.3,0.7,1
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,2,22,0.9,1,1
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,3,15,1.3,0.7,1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,3,12,1.3,0.6,1
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,3,12,1.3,0.6,1
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,3,12,1.3,0.6,1
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,3,9,1.3,0.4,0.9
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,1,30,0.4,1.4,0.9
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,3,8,1.3,0.4,0.9
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,3,9,1.3,0.4,0.9
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,30,0.4,1.4,0.9
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,3,9,1.3,0.4,0.9
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,1,25,0.4,1.2,0.8
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,2,16,0.9,0.7,0.8
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,3,5,1.3,0.2,0.8
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,1,25,0.4,1.2,0.8
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,20,0.4,0.9,0.7
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,2,9,0.9,0.4,0.7
"Taenidia integerrima",Apiaceae,TAEINT,native,9,2,forb,perennial,2,4,0.9,0.2,0.6
