"Vestal Grove 2003"
2003-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.9
"Native Mean C:",4.2
"Total FQI:",33.3
"Native FQI:",34.4
"Cover-weighted FQI:",34.2
"Cover-weighted Native FQI:",35.2
"Adjusted FQI:",40.2
"% C value 0:",9.6
"% C value 1-3:",32.9
"% C value 4-6:",42.5
"% C value 7-10:",15.1

"Species Richness:"
"Total Species:",73
"Native Species:",67,91.8%
"Non-native Species:",6,8.2%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.6

"Duration Metrics:"
Annual:,4,5.5%
Perennial:,66,90.4%
Biennial:,3,4.1%
"Native Annual:",4,5.5%
"Native Perennial:",62,84.9%
"Native Biennial:",1,1.4%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",154,1304,211,65.9,138.5
"Non-native shrub",10,218,13.7,11,12.4
"Native grass",13,137,17.8,6.9,12.4
"Native shrub",12,111,16.4,5.6,11
"Non-native forb",8,49,11,2.5,6.8
"Native sedge",6,90,8.2,4.5,6.4
"Native vine",7,40,9.6,2,5.8
"Native tree",6,24,8.2,1.2,4.7
"Non-native tree",2,6,2.7,0.3,1.5

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,10,218,4.6,11,7.8
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,9,149,4.1,7.5,5.8
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,12,116,5.5,5.9,5.7
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,10,105,4.6,5.3,5
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,10,95,4.6,4.8,4.7
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,6,104,2.8,5.3,4.1
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,90,3.2,4.5,3.9
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,7,82,3.2,4.1,3.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,91,2.3,4.6,3.5
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,6,71,2.8,3.6,3.2
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,7,40,3.2,2,2.6
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,5,50,2.3,2.5,2.4
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,6,34,2.8,1.7,2.3
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,50,1.8,2.5,2.2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,6,25,2.8,1.3,2.1
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,65,0.9,3.3,2.1
"Alliaria petiolata",Brassicaceae,ALLPET,non-native,0,0,forb,biennial,4,41,1.8,2.1,2
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,6,21,2.8,1.1,2
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,6,19,2.8,1,1.9
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,2,52,0.9,2.6,1.8
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,3,41,1.4,2.1,1.8
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,4,21,1.8,1.1,1.5
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,4,17,1.8,0.9,1.4
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,24,1.4,1.2,1.3
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,3,23,1.4,1.2,1.3
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,3,13,1.4,0.7,1.1
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,2,20,0.9,1,1
"Toxicodendron radicans; rhus radicans",Anacardiaceae,RHURAD,native,2,0,vine,perennial,3,10,1.4,0.5,1
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,20,0.9,1,1
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,3,9,1.4,0.5,1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,3,11,1.4,0.6,1
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,30,0.5,1.5,1
"Camassia scilloides",Liliaceae,CAMSCI,native,6,0,forb,perennial,2,15,0.9,0.8,0.9
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,3,6,1.4,0.3,0.9
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,1,20,0.5,1,0.8
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,2,8,0.9,0.4,0.7
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,1,15,0.5,0.8,0.7
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,2,10,0.9,0.5,0.7
"Ostrya virginiana",Betulaceae,OSTVIR,native,5,1,tree,perennial,2,10,0.9,0.5,0.7
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,2,10,0.9,0.5,0.7
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,2,7,0.9,0.4,0.7
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,5,0.9,0.3,0.6
"Malus toringa; malus sieboldii",Rosaceae,MALSIE,non-native,0,2,tree,perennial,2,6,0.9,0.3,0.6
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,2,3,0.9,0.2,0.6
"Prunus serotina",Rosaceae,PRUSER,native,1,1,tree,perennial,2,6,0.9,0.3,0.6
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,2,3,0.9,0.2,0.6
"Helenium autumnale",Asteraceae,HELAUT,native,5,-1,forb,perennial,1,8,0.5,0.4,0.5
"Viola pubescens",Violaceae,VIOPUB,native,5,1,forb,perennial,1,8,0.5,0.4,0.5
"Cardamine concatenata; dentaria laciniata",Brassicaceae,CARCON,native,5,1,forb,perennial,1,8,0.5,0.4,0.5
"Andropogon gerardii",Poaceae,ANDGER,native,5,0,grass,perennial,1,10,0.5,0.5,0.5
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,1,5,0.5,0.3,0.4
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,1,3,0.5,0.2,0.4
"Dichanthelium acuminatum; panicum implicatum; panicum auburne; panicum lindheimeri; panicum praecocius; panicum subvillosum; panicum villosissimum; panicum villosissimum pseudopubescens",Poaceae,DICACU,native,2,0,grass,perennial,1,4,0.5,0.2,0.4
