"Vestal Grove 2011"
2011-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.4
"Native Mean C:",4.6
"Total FQI:",38.4
"Native FQI:",39.3
"Cover-weighted FQI:",44.5
"Cover-weighted Native FQI:",44.4
"Adjusted FQI:",45.1
"% C value 0:",7.9
"% C value 1-3:",22.4
"% C value 4-6:",48.7
"% C value 7-10:",21.1

"Species Richness:"
"Total Species:",76
"Native Species:",73,96.1%
"Non-native Species:",3,3.9%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.6

"Duration Metrics:"
Annual:,9,11.8%
Perennial:,64,84.2%
Biennial:,3,3.9%
"Native Annual:",9,11.8%
"Native Perennial:",62,81.6%
"Native Biennial:",2,2.6%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",180,2389,236.8,85.6,161.2
"Native grass",15,138,19.7,4.9,12.3
"Native vine",9,141,11.8,5.1,8.5
"Non-native shrub",6,29,7.9,1,4.5
"Native sedge",5,52,6.6,1.9,4.3
"Non-native forb",3,3,3.9,0.1,2
"Native shrub",2,20,2.6,0.7,1.7
"Native tree",2,20,2.6,0.7,1.7

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",Asteraceae,HELSTR,native,5,2,forb,perennial,11,620,5,22.2,13.6
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,9,240,4.1,8.6,6.4
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,7,263,3.2,9.4,6.3
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,8,119,3.6,4.3,4
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,6,90,2.7,3.2,3
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,105,1.8,3.8,2.8
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,5,78,2.3,2.8,2.6
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,7,51,3.2,1.8,2.5
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,4,85,1.8,3,2.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,4,70,1.8,2.5,2.2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,6,35,2.7,1.3,2
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,6,29,2.7,1,1.9
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,5,43,2.3,1.5,1.9
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,6,28,2.7,1,1.9
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,5,28,2.3,1,1.7
"Camassia scilloides",Liliaceae,CAMSCI,native,6,0,forb,perennial,4,44,1.8,1.6,1.7
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,5,32,2.3,1.1,1.7
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,3,55,1.4,2,1.7
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,3,50,1.4,1.8,1.6
"Trillium recurvatum",Liliaceae,TRIREC,native,5,1,forb,perennial,6,12,2.7,0.4,1.6
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,4,37,1.8,1.3,1.6
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,5,19,2.3,0.7,1.5
"Lithospermum latifolium",Boraginaceae,LITLAT,native,9,2,forb,perennial,2,60,0.9,2.1,1.5
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,4,26,1.8,0.9,1.4
"Floerkea proserpinacoides",Limnanthaceae,FLOPRO,native,8,-1,forb,annual,3,40,1.4,1.4,1.4
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,30,1.4,1.1,1.3
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,4,16,1.8,0.6,1.2
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,4,15,1.8,0.5,1.2
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,3,25,1.4,0.9,1.2
"Polygonatum biflorum var. commutatum; polygonatum canaliculatum",Liliaceae,POLBIF,native,3,1,forb,perennial,3,21,1.4,0.8,1.1
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,35,0.9,1.3,1.1
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,3,22,1.4,0.8,1.1
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,3,21,1.4,0.8,1.1
"Thalictrum revolutum",Ranunculaceae,THAREV,native,6,0,forb,perennial,2,35,0.9,1.3,1.1
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,2,30,0.9,1.1,1
"Cardamine concatenata; dentaria laciniata",Brassicaceae,CARCON,native,5,1,forb,perennial,3,12,1.4,0.4,0.9
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,2,25,0.9,0.9,0.9
"Penstemon calycosus",Scrophulariaceae,PENCAL,native,7,1,forb,perennial,3,10,1.4,0.4,0.9
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,3,9,1.4,0.3,0.9
"Viola pubescens",Violaceae,VIOPUB,native,5,1,forb,perennial,2,18,0.9,0.6,0.8
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,3,3,1.4,0.1,0.8
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,2,20,0.9,0.7,0.8
"Carya ovata",Juglandaceae,CAROVT,native,5,1,tree,perennial,2,20,0.9,0.7,0.8
"Galium aparine",Rubiaceae,GALAPA,native,1,1,forb,annual,2,13,0.9,0.5,0.7
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,2,13,0.9,0.5,0.7
"Cirsium altissimum",Asteraceae,CIRALT,native,6,2,forb,biennial,2,6,0.9,0.2,0.6
"Sanguinaria canadensis",Papaveraceae,SANCAD,native,6,1,forb,perennial,2,9,0.9,0.3,0.6
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,2,8,0.9,0.3,0.6
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,2,2,0.9,0.1,0.5
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,2,4,0.9,0.1,0.5
"Coreopsis tripteris",Asteraceae,CORTRI,native,5,0,forb,perennial,1,12,0.5,0.4,0.5
"Allium cernuum",Liliaceae,ALLCER,native,7,1,forb,perennial,1,10,0.5,0.4,0.5
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,2,3,0.9,0.1,0.5
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,1,10,0.5,0.4,0.5
"Boehmeria cylindrica; boehmeria cylindrica drummondiana",Urticaceae,BOECYL,native,2,-2,forb,perennial,1,10,0.5,0.4,0.5
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,1,5,0.5,0.2,0.4
"Ranunculus recurvatus",Ranunculaceae,RANREC,native,5,-1,forb,annual,1,5,0.5,0.2,0.4
"Carex davisii",Cyperaceae,CXDAVI,native,7,0,sedge,perennial,1,8,0.5,0.3,0.4
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,1,5,0.5,0.2,0.4
"Triosteum aurantiacum",Caprifoliaceae,TRIOAU,native,5,2,forb,perennial,1,5,0.5,0.2,0.4
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,1,8,0.5,0.3,0.4
"Perideridia americana",Apiaceae,PERAME,native,8,2,forb,perennial,1,5,0.5,0.2,0.4
"Brachyelytrum erectum",Poaceae,BRAERE,native,10,2,grass,perennial,1,1,0.5,0,0.3
"Plantago rugelii",Plantaginaceae,PLARUG,native,0,0,forb,annual,1,2,0.5,0.1,0.3
"Sanicula marilandica",Apiaceae,SANMAR,native,6,1,forb,perennial,1,1,0.5,0,0.3
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,1,2,0.5,0.1,0.3
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,1,1,0.5,0,0.3
"Chenopodium standleyanum",Chenopodiaceae,CHESTA,native,4,2,forb,annual,1,1,0.5,0,0.3
"Muhlenbergia mexicana",Poaceae,MUHMEX,native,5,-1,grass,perennial,1,3,0.5,0.1,0.3
"Uvularia grandiflora",Cohchicaceae,UVUGRA,native,7,2,forb,perennial,1,1,0.5,0,0.3
"Alliaria petiolata",Brassicaceae,ALLPET,non-native,0,0,forb,biennial,1,1,0.5,0,0.3
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,4,0.5,0.1,0.3
"Campanulastrum americanum; campanula americana",Campanulaceae,CAMAME,native,3,0,forb,annual,1,1,0.5,0,0.3
"Polemonium reptans",Polemoniaceae,POLREP,native,5,0,forb,perennial,1,2,0.5,0.1,0.3
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,1,4,0.5,0.1,0.3
