List of all taxa not found in tree and replaced with members of the same genera:
missing taxon,replacement taxon
Geranium_maculatum,Geranium_bicknellii
Allium_burdickii,Allium_canadense
Smilax_ecirrhata,Smilax_hispida
Senecio_hieraciifolius,Senecio_jacobaea
Elymus_villosus,Elymus_canadensis
Rudbeckia_subtomentosa,Rudbeckia_hirta
Quercus_coccinea,Quercus_alba
Ratibida_pinnata,Ratibida_columnifera
Geum_laciniatum,Geum_aleppicum
Malus_toringa,Malus_baccata
Carex_davisii,Carex_acutiformis
Helianthus_maximilianii,Helianthus_annuus
Galium_obtusum,Galium_aparine
Penstemon_calycosus,Penstemon_cobaea
Sanicula_marilandica,Sanicula_canadensis
Smilax_illinoensis,Smilax_hispida
