"Vestal Grove 1986"
1986-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",2.9
"Native Mean C:",3.4
"Total FQI:",22.8
"Native FQI:",24.8
"Cover-weighted FQI:",20.5
"Cover-weighted Native FQI:",21.8
"Adjusted FQI:",31.4
"% C value 0:",22.6
"% C value 1-3:",33.9
"% C value 4-6:",37.1
"% C value 7-10:",6.5

"Species Richness:"
"Total Species:",62
"Native Species:",53,85.5%
"Non-native Species:",9,14.5%

"Species Wetness:"
"Mean Wetness:",0.4
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,8,12.9%
Perennial:,50,80.6%
Biennial:,4,6.5%
"Native Annual:",7,11.3%
"Native Perennial:",44,71%
"Native Biennial:",2,3.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",88,605,141.9,48.2,95.1
"Native shrub",13,222,21,17.7,19.4
"Non-native shrub",12,209,19.4,16.7,18.1
"Non-native forb",9,33,14.5,2.6,8.6
"Native grass",7,54,11.3,4.3,7.8
"Native sedge",7,52,11.3,4.1,7.7
"Native vine",5,32,8.1,2.6,5.4
"Non-native vine",5,31,8.1,2.5,5.3
"Native tree",2,16,3.2,1.3,2.3

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,10,184,6.8,14.7,10.8
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,10,85,6.8,6.8,6.8
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,3,114,2,9.1,5.6
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,6,49,4.1,3.9,4
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,6,43,4.1,3.4,3.8
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,4,61,2.7,4.9,3.8
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,7,30,4.7,2.4,3.6
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,4,50,2.7,4,3.4
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,5,31,3.4,2.5,3
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,2,54,1.4,4.3,2.9
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,3,38,2,3,2.5
"Epilobium coloratum",Onagraceae,EPICOL,native,3,-2,forb,perennial,5,13,3.4,1,2.2
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,4,19,2.7,1.5,2.1
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,2,34,1.4,2.7,2.1
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,2,29,1.4,2.3,1.9
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,2,30,1.4,2.4,1.9
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,4,13,2.7,1,1.9
