"Vestal Grove 2009"
2009-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",4.3
"Native Mean C:",4.5
"Total FQI:",39.2
"Native FQI:",40
"Cover-weighted FQI:",43.7
"Cover-weighted Native FQI:",43.6
"Adjusted FQI:",43.9
"% C value 0:",8.4
"% C value 1-3:",22.9
"% C value 4-6:",49.4
"% C value 7-10:",19.3

"Species Richness:"
"Total Species:",83
"Native Species:",79,95.2%
"Non-native Species:",4,4.8%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.6

"Duration Metrics:"
Annual:,7,8.4%
Perennial:,74,89.2%
Biennial:,2,2.4%
"Native Annual:",7,8.4%
"Native Perennial:",71,85.5%
"Native Biennial:",1,1.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",182,2249,219.3,81.6,150.5
"Native grass",18,232,21.7,8.4,15.1
"Native sedge",10,146,12,5.3,8.7
"Native vine",10,58,12,2.1,7.1
"Non-native shrub",5,34,6,1.2,3.6
"Non-native forb",5,10,6,0.4,3.2
"Native tree",4,10,4.8,0.4,2.6
"Native shrub",2,13,2.4,0.5,1.5
"Native rush",1,5,1.2,0.2,0.7

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Helianthus strumosus",Asteraceae,HELSTR,native,5,2,forb,perennial,9,298,3.8,10.8,7.3
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,11,210,4.6,7.6,6.1
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,8,207,3.4,7.5,5.5
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,7,188,3,6.8,4.9
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,7,165,3,6,4.5
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,10,85,4.2,3.1,3.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,105,2.1,3.8,3
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,5,85,2.1,3.1,2.6
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,8,41,3.4,1.5,2.5
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,7,53,3,1.9,2.5
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,4,90,1.7,3.3,2.5
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,4,80,1.7,2.9,2.3
"Carex pensylvanica",Cyperaceae,CXPENS,native,5,2,sedge,perennial,2,90,0.8,3.3,2.1
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,3,80,1.3,2.9,2.1
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,6,43,2.5,1.6,2.1
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,7,26,3,0.9,2
"Arisaema dracontium",Araceae,ARIDRA,native,7,-1,forb,perennial,5,38,2.1,1.4,1.8
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,5,34,2.1,1.2,1.7
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,5,30,2.1,1.1,1.6
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,5,20,2.1,0.7,1.4
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,4,27,1.7,1,1.4
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,4,28,1.7,1,1.4
"Thalictrum revolutum",Ranunculaceae,THAREV,native,6,0,forb,perennial,2,55,0.8,2,1.4
"Camassia scilloides",Liliaceae,CAMSCI,native,6,0,forb,perennial,4,26,1.7,0.9,1.3
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,26,1.7,0.9,1.3
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,4,21,1.7,0.8,1.3
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,3,32,1.3,1.2,1.3
"Lithospermum latifolium",Boraginaceae,LITLAT,native,9,2,forb,perennial,3,30,1.3,1.1,1.2
