"Vestal Grove 1985"
1985-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",2.5
"Native Mean C:",3.2
"Total FQI:",17.9
"Native FQI:",20.5
"Cover-weighted FQI:",21.4
"Cover-weighted Native FQI:",22.4
"Adjusted FQI:",28.7
"% C value 0:",25.5
"% C value 1-3:",41.2
"% C value 4-6:",27.5
"% C value 7-10:",5.9

"Species Richness:"
"Total Species:",51
"Native Species:",41,80.4%
"Non-native Species:",10,19.6%

"Species Wetness:"
"Mean Wetness:",0.6
"Native Mean Wetness:",0.6

"Duration Metrics:"
Annual:,1,2%
Perennial:,46,90.2%
Biennial:,4,7.8%
"Native Annual:",0,0%
"Native Perennial:",39,76.5%
"Native Biennial:",2,3.9%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",81,679,158.8,44.7,101.8
"Non-native shrub",19,291,37.3,19.2,28.3
"Native vine",21,131,41.2,8.6,24.9
"Native shrub",19,179,37.3,11.8,24.6
"Native tree",11,98,21.6,6.5,14.1
"Non-native vine",9,63,17.6,4.1,10.9
"Non-native forb",7,45,13.7,3,8.4
"Native sedge",4,18,7.8,1.2,4.5
"Non-native grass",2,10,3.9,0.7,2.3
"Native grass",1,5,2,0.3,1.2

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,15,261,8.6,17.2,12.9
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,12,86,6.9,5.7,6.3
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,95,4.6,6.3,5.5
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,9,80,5.2,5.3,5.3
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,9,68,5.2,4.5,4.9
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,9,63,5.2,4.1,4.7
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,8,73,4.6,4.8,4.7
"Prunella vulgaris ssp. lanceolata; prunella vulgaris lanceolata",Lamiaceae,PRUVULL,native,0,0,forb,perennial,6,55,3.4,3.6,3.5
"Toxicodendron radicans; rhus radicans",Anacardiaceae,RHURAD,native,2,0,vine,perennial,7,33,4,2.2,3.1
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,6,40,3.4,2.6,3
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,5,45,2.9,3,3
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,6,35,3.4,2.3,2.9
"Epilobium coloratum",Onagraceae,EPICOL,native,3,-2,forb,perennial,5,40,2.9,2.6,2.8
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,4,46,2.3,3,2.7
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,3,40,1.7,2.6,2.2
"Parthenocissus inserta ; parthenocissus inserta",Vitaceae,PARINS,native,1,1,vine,perennial,4,25,2.3,1.6,2
