"Vestal Grove 1988"
1988-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.6
"Native Mean C:",4
"Total FQI:",34.7
"Native FQI:",36.7
"Cover-weighted FQI:",34.7
"Cover-weighted Native FQI:",36.7
"Adjusted FQI:",38
"% C value 0:",16.1
"% C value 1-3:",33.3
"% C value 4-6:",36.6
"% C value 7-10:",14

"Species Richness:"
"Total Species:",93
"Native Species:",84,90.3%
"Non-native Species:",9,9.7%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.4

"Duration Metrics:"
Annual:,11,11.8%
Perennial:,78,83.9%
Biennial:,4,4.3%
"Native Annual:",11,11.8%
"Native Perennial:",71,76.3%
"Native Biennial:",2,2.2%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",178,1105,191.4,62.7,127.1
"Native shrub",26,218,28,12.4,20.2
"Native grass",26,152,28,8.6,18.3
"Non-native shrub",17,125,18.3,7.1,12.7
"Non-native forb",13,51,14,2.9,8.5
"Native vine",9,33,9.7,1.9,5.8
"Native tree",9,9,9.7,0.5,5.1
"Native sedge",7,36,7.5,2,4.8
"Non-native vine",7,32,7.5,1.8,4.7

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,14,221,4.8,12.5,8.7
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,11,92,3.8,5.2,4.5
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,10,95,3.4,5.4,4.4
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,7,76,2.4,4.3,3.4
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,6,76,2.1,4.3,3.2
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,5,68,1.7,3.9,2.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,3,76,1,4.3,2.7
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,10,29,3.4,1.6,2.5
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,7,36,2.4,2,2.2
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,7,32,2.4,1.8,2.1
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,9,14,3.1,0.8,2
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,4,44,1.4,2.5,2
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,7,27,2.4,1.5,2
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,4,40,1.4,2.3,1.9
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,40,1.4,2.3,1.9
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,3,50,1,2.8,1.9
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,7,20,2.4,1.1,1.8
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,3,42,1,2.4,1.7
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,5,28,1.7,1.6,1.7
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,5,29,1.7,1.6,1.7
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,5,28,1.7,1.6,1.7
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,5,29,1.7,1.6,1.7
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,5,26,1.7,1.5,1.6
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,7,12,2.4,0.7,1.6
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,5,27,1.7,1.5,1.6
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,5,21,1.7,1.2,1.5
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,7,10,2.4,0.6,1.5
"Elymus villosus",Poaceae,ELYVIL,native,5,1,grass,perennial,6,16,2.1,0.9,1.5
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,3,36,1,2,1.5
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,4,26,1.4,1.5,1.5
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,4,23,1.4,1.3,1.4
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,4,20,1.4,1.1,1.3
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,4,20,1.4,1.1,1.3
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,40,0.3,2.3,1.3
"Taraxacum officinale",Asteraceae,TAROFF,non-native,0,1,forb,perennial,5,11,1.7,0.6,1.2
"Persicaria punctata; polygonum punctatum",Polygonaceae,PERPUN,native,6,-2,forb,annual,5,10,1.7,0.6,1.2
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,5,9,1.7,0.5,1.1
"Solanum americanum",Solanaceae,SOLAME,native,0,1,forb,annual,5,8,1.7,0.5,1.1
"Rudbeckia triloba",Asteraceae,RUDTRI,native,3,1,forb,annual,1,25,0.3,1.4,0.9
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,3,14,1,0.8,0.9
"Campanulastrum americanum; campanula americana",Campanulaceae,CAMAME,native,3,0,forb,annual,3,9,1,0.5,0.8
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,3,5,1,0.3,0.7
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,2,11,0.7,0.6,0.7
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,2,12,0.7,0.7,0.7
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,2,11,0.7,0.6,0.7
"Erigeron annuus",Asteraceae,ERIANN,native,0,1,forb,biennial,2,9,0.7,0.5,0.6
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,2,8,0.7,0.5,0.6
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,3,4,1,0.2,0.6
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,2,8,0.7,0.5,0.6
"Cryptotaenia canadensis",Apiaceae,CRYCAN,native,2,0,forb,perennial,2,4,0.7,0.2,0.5
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,3,0.7,0.2,0.5
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,2,3,0.7,0.2,0.5
"Prunella vulgaris ssp. lanceolata; prunella vulgaris lanceolata",Lamiaceae,PRUVULL,native,0,0,forb,perennial,2,3,0.7,0.2,0.5
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,1,10,0.3,0.6,0.5
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,10,0.3,0.6,0.5
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,1,10,0.3,0.6,0.5
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,1,8,0.3,0.5,0.4
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,8,0.3,0.5,0.4
"Crataegus mollis",Rosaceae,CRAMOL,native,2,0,tree,perennial,2,2,0.7,0.1,0.4
