"Vestal Grove 1989"
1989-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.5
"Native Mean C:",3.9
"Total FQI:",33
"Native FQI:",34.7
"Cover-weighted FQI:",33
"Cover-weighted Native FQI:",34.7
"Adjusted FQI:",36.7
"% C value 0:",18
"% C value 1-3:",27
"% C value 4-6:",42.7
"% C value 7-10:",12.4

"Species Richness:"
"Total Species:",89
"Native Species:",79,88.8%
"Non-native Species:",10,11.2%

"Species Wetness:"
"Mean Wetness:",0.5
"Native Mean Wetness:",0.5

"Duration Metrics:"
Annual:,8,9%
Perennial:,75,84.3%
Biennial:,6,6.7%
"Native Annual:",8,9%
"Native Perennial:",68,76.4%
"Native Biennial:",3,3.4%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",167,988,187.6,58.9,123.3
"Native grass",34,217,38.2,12.9,25.6
"Native shrub",17,167,19.1,10,14.6
"Non-native shrub",14,170,15.7,10.1,12.9
"Non-native forb",12,58,13.5,3.5,8.5
"Native vine",7,20,7.9,1.2,4.6
"Non-native vine",7,14,7.9,0.8,4.4
"Native tree",4,23,4.5,1.4,3
"Native sedge",4,15,4.5,0.9,2.7
"Native rush",1,2,1.1,0.1,0.6
"Non-native grass",1,2,1.1,0.1,0.6

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,10,154,3.7,9.2,6.5
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,7,147,2.6,8.8,5.7
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,11,86,4.1,5.1,4.6
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,4,117,1.5,7,4.3
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,8,81,3,4.8,3.9
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,7,80,2.6,4.8,3.7
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,5,60,1.9,3.6,2.8
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,4,66,1.5,3.9,2.7
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,7,42,2.6,2.5,2.6
"Rubus idaeus ssp. strigosus; rubus idaeus strigosus",Rosaceae,RUBIDAS,native,3,1,shrub,perennial,5,51,1.9,3,2.5
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,9,27,3.4,1.6,2.5
"Sphenopholis intermedia",Poaceae,SPHINT,native,4,0,grass,perennial,3,62,1.1,3.7,2.4
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,7,27,2.6,1.6,2.1
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,8,16,3,1,2
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,6,21,2.2,1.3,1.8
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,5,26,1.9,1.6,1.8
"Solanum dulcamara",Solanaceae,SOLDUL,non-native,0,0,vine,perennial,7,14,2.6,0.8,1.7
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,3,36,1.1,2.1,1.6
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,6,15,2.2,0.9,1.6
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,6,11,2.2,0.7,1.5
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,24,1.5,1.4,1.5
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,5,16,1.9,1,1.5
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,6,14,2.2,0.8,1.5
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,40,0.4,2.4,1.4
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,5,13,1.9,0.8,1.4
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,3,25,1.1,1.5,1.3
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,5,12,1.9,0.7,1.3
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,4,17,1.5,1,1.3
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,4,13,1.5,0.8,1.2
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,4,11,1.5,0.7,1.1
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,4,10,1.5,0.6,1.1
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,4,6,1.5,0.4,1
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,3,15,1.1,0.9,1
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,2,21,0.7,1.3,1
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,25,0.4,1.5,1
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,3,14,1.1,0.8,1
"Nabalus albus; prenanthes alba",Asteraceae,NABALB,native,5,1,forb,perennial,4,7,1.5,0.4,1
"Prunus serotina",Rosaceae,PRUSER,native,1,1,tree,perennial,2,17,0.7,1,0.9
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,2,17,0.7,1,0.9
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,3,7,1.1,0.4,0.8
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,3,6,1.1,0.4,0.8
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,3,8,1.1,0.5,0.8
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,5,1.1,0.3,0.7
"Senecio hieraciifolius; erechtites hieracifolia",Asteraceae,EREHIE,native,2,0,forb,annual,3,4,1.1,0.2,0.7
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,2,10,0.7,0.6,0.7
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,12,0.7,0.7,0.7
"Trillium recurvatum",Liliaceae,TRIREC,native,5,1,forb,perennial,3,3,1.1,0.2,0.7
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,2,12,0.7,0.7,0.7
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,2,8,0.7,0.5,0.6
"Rudbeckia triloba",Asteraceae,RUDTRI,native,3,1,forb,annual,2,8,0.7,0.5,0.6
"Amphicarpaea bracteata",Fabaceae,AMPBRA,native,4,0,vine,annual,1,12,0.4,0.7,0.6
"Tradescantia ohiensis",Commelinaceae,TRAOHI,native,2,1,forb,perennial,2,6,0.7,0.4,0.6
"Campanulastrum americanum; campanula americana",Campanulaceae,CAMAME,native,3,0,forb,annual,1,14,0.4,0.8,0.6
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,2,6,0.7,0.4,0.6
"Ratibida pinnata",Asteraceae,RATPIN,native,4,2,forb,perennial,2,3,0.7,0.2,0.5
"Cirsium vulgare",Asteraceae,CIRVUL,non-native,0,1,forb,biennial,1,10,0.4,0.6,0.5
"Heracleum maximum",Apiaceae,HERMAX,native,5,-1,forb,perennial,2,3,0.7,0.2,0.5
"Hackelia virginiana",Boraginaceae,HACVIR,native,0,1,forb,biennial,1,10,0.4,0.6,0.5
