"Vestal Grove 1991"
1991-08-02
"Vestal Grove"




"FQA DB Region:","Chicago Region USACE"
"FQA DB Publication Year:",2014
"FQA DB Description:","Herman, B., Sliwinski, R. and S. Whitaker. 2014. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [Version 1.16.14]"

Practitioner:,Stephen
Latitude:,
Longitude:,
"Weather Notes:",
"Duration Notes:",
"Community Type Notes:",
"Other Notes:",
Private/Public:,Private

"Conservatism-Based Metrics:"
"Total Mean C:",3.4
"Native Mean C:",3.9
"Total FQI:",33.3
"Native FQI:",35.7
"Cover-weighted FQI:",35.3
"Cover-weighted Native FQI:",36.7
"Adjusted FQI:",36.5
"% C value 0:",17.7
"% C value 1-3:",29.2
"% C value 4-6:",40.6
"% C value 7-10:",12.5

"Species Richness:"
"Total Species:",96
"Native Species:",84,87.5%
"Non-native Species:",12,12.5%

"Species Wetness:"
"Mean Wetness:",0.3
"Native Mean Wetness:",0.3

"Duration Metrics:"
Annual:,9,9.4%
Perennial:,82,85.4%
Biennial:,5,5.2%
"Native Annual:",8,8.3%
"Native Perennial:",74,77.1%
"Native Biennial:",2,2.1%

"Physiognomic Relative Importance Values:"
Physiognomy,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Native forb",196,1116,204.2,65.3,134.8
"Native grass",20,166,20.8,9.7,15.3
"Native shrub",16,198,16.7,11.6,14.2
"Non-native shrub",10,152,10.4,8.9,9.7
"Non-native forb",9,25,9.4,1.5,5.5
"Native sedge",6,26,6.3,1.5,3.9
"Native vine",6,16,6.3,0.9,3.6
"Native tree",5,8,5.2,0.5,2.9
"Non-native grass",2,3,2.1,0.2,1.2

"Species Relative Importance Values:"
Species,Family,Acronym,Nativity,C,W,Physiognomy,Duration,Frequency,Coverage,"Relative Frequency (%)","Relative Coverage (%)","Relative Importance Value"
"Solidago altissima",Asteraceae,SOLALT,native,1,1,forb,perennial,10,134,3.7,7.8,5.8
"Solidago ulmifolia",Asteraceae,SOLULM,native,5,2,forb,perennial,8,123,3,7.2,5.1
"Rhamnus cathartica",Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,6,128,2.2,7.5,4.9
"Cinna arundinacea",Poaceae,CINARU,native,5,-1,grass,perennial,5,121,1.9,7.1,4.5
"Rubus occidentalis",Rosaceae,RUBOCC,native,2,2,shrub,perennial,6,78,2.2,4.6,3.4
"Eutrochium purpureum; eupatorium purpureum",Asteraceae,EUPPUR,native,7,0,forb,perennial,6,59,2.2,3.5,2.9
"Circaea canadensis; circaea lutetiana canadensis",Onagraceae,CIRCAN,native,1,1,forb,perennial,8,46,3,2.7,2.9
"Helianthus hirsutus",Asteraceae,HELHIR,native,5,2,forb,perennial,6,57,2.2,3.3,2.8
"Ranunculus hispidus var. nitidus; ranunculus septentrionalis",Ranunculaceae,RANHISN,native,5,0,forb,perennial,5,58,1.9,3.4,2.7
"Geum canadense",Rosaceae,GEUCAN,native,1,0,forb,perennial,8,37,3,2.2,2.6
"Rubus flagellaris; rubus enslenii",Rosaceae,RUBENS,native,3,1,shrub,perennial,4,58,1.5,3.4,2.5
"Pilea pumila",Urticaceae,PILPUM,native,5,-1,forb,annual,9,17,3.3,1,2.2
"Scrophularia marilandica",Scrophulariaceae,SCRMAR,native,4,1,forb,perennial,5,40,1.9,2.3,2.1
"Cornus racemosa",Cornaceae,CORRAC,native,1,0,shrub,perennial,3,51,1.1,3,2.1
"Impatiens capensis",Balsaminaceae,IMPCAP,native,3,-1,forb,annual,4,43,1.5,2.5,2
"Symphyotrichum shortii; aster shortii",Asteraceae,ASTSHO,native,8,2,forb,perennial,6,24,2.2,1.4,1.8
"Fragaria virginiana",Rosaceae,FRAVIR,native,1,1,forb,perennial,7,14,2.6,0.8,1.7
"Carex blanda",Cyperaceae,CXBLAN,native,1,0,sedge,perennial,5,21,1.9,1.2,1.6
"Oxalis stricta; oxalis europaea",Oxalidaceae,OXAEUR,native,0,1,forb,perennial,7,9,2.6,0.5,1.6
"Zizia aurea",Apiaceae,ZIZAUR,native,7,0,forb,perennial,5,13,1.9,0.8,1.4
"Eurybia macrophylla; aster macrophyllus",Asteraceae,ASTMAC,native,8,1,forb,perennial,3,28,1.1,1.6,1.4
"Eutrochium maculatum; eupatorium maculatum",Asteraceae,EUPMAC,native,4,-2,forb,perennial,1,40,0.4,2.3,1.4
"Triosteum perfoliatum",Caprifoliaceae,TRIPER,native,5,2,forb,perennial,1,40,0.4,2.3,1.4
"Geranium maculatum",Geraniaceae,GERMAC,native,4,1,forb,perennial,5,13,1.9,0.8,1.4
"Arisaema triphyllum",Araceae,ARITRI,native,4,-1,forb,perennial,6,9,2.2,0.5,1.4
"Potentilla simplex; potentilla simplex argyrisma",Rosaceae,POTSIM,native,4,1,forb,perennial,5,15,1.9,0.9,1.4
"Persicaria punctata; polygonum punctatum",Polygonaceae,PERPUN,native,6,-2,forb,annual,4,22,1.5,1.3,1.4
"Smilax ecirrhata",Smilacaceae,SMIECI,native,5,2,forb,perennial,5,11,1.9,0.6,1.3
"Allium canadense",Liliaceae,ALLCAN,native,2,1,forb,perennial,4,13,1.5,0.8,1.2
"Solidago juncea",Asteraceae,SOLJUN,native,5,2,forb,perennial,2,29,0.7,1.7,1.2
"Festuca subverticillata; festuca obtusa",Poaceae,FESOBT,native,5,1,grass,perennial,3,22,1.1,1.3,1.2
"Maianthemum stellatum; smilacina stellata",Liliaceae,MAISTE,native,5,0,forb,perennial,5,6,1.9,0.4,1.2
"Cirsium arvense",Asteraceae,CIRARV,non-native,0,1,forb,perennial,4,13,1.5,0.8,1.2
"Solidago caesia",Asteraceae,SOLCAE,native,7,1,forb,perennial,4,16,1.5,0.9,1.2
"Thalictrum dasycarpum; thalictrum dasycarpum hypoglaucum",Ranunculaceae,THADAS,native,5,-1,forb,perennial,3,18,1.1,1.1,1.1
"Bidens frondosa",Asteraceae,BIDFRO,native,1,-1,forb,annual,4,10,1.5,0.6,1.1
"Monarda fistulosa",Lamiaceae,MONFIS,native,4,1,forb,perennial,3,16,1.1,0.9,1
"Symphyotrichum pilosum; aster pilosus",Asteraceae,ASTPIL,native,0,1,forb,perennial,3,14,1.1,0.8,1
"Symphyotrichum lateriflorum; aster lateriflorus",Asteraceae,ASTLAT,native,4,-1,forb,perennial,4,7,1.5,0.4,1
"Prunus virginiana",Rosaceae,PRUVIR,native,3,1,shrub,perennial,3,11,1.1,0.6,0.9
"Solidago flexicaulis",Asteraceae,SOLFLE,native,7,1,forb,perennial,3,12,1.1,0.7,0.9
"Symphyotrichum drummondii ; aster sagittifolius drummondii",Asteraceae,ASTSAGD,native,2,2,forb,perennial,3,7,1.1,0.4,0.8
"Frangula alnus; rhamnus frangula",Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,2,14,0.7,0.8,0.8
"Silene stellata",Caryophyllaceae,SILSTE,native,6,2,forb,perennial,3,6,1.1,0.4,0.8
"Rudbeckia subtomentosa",Asteraceae,RUDSUB,native,9,1,forb,perennial,2,15,0.7,0.9,0.8
"Elymus virginicus",Poaceae,ELYVIR,native,4,-1,grass,perennial,3,6,1.1,0.4,0.8
"Penstemon digitalis",Scrophulariaceae,PENDIG,native,4,0,forb,perennial,1,15,0.4,0.9,0.7
"Persicaria virginiana; polygonum virginianum",Polygonaceae,PERVIR,native,2,0,forb,perennial,2,10,0.7,0.6,0.7
"Symphyotrichum lanceolatum; aster simplex",Asteraceae,ASTSIM,native,3,0,forb,perennial,2,6,0.7,0.4,0.6
"Euthamia graminifolia; solidago graminifolia; solidago graminifolia nuttallii",Asteraceae,EUTGRA,native,4,-1,forb,perennial,2,6,0.7,0.4,0.6
"Leersia virginica",Poaceae,LEEVIR,native,7,-1,grass,perennial,2,6,0.7,0.4,0.6
"Rudbeckia triloba",Asteraceae,RUDTRI,native,3,1,forb,annual,2,6,0.7,0.4,0.6
"Cirsium vulgare",Asteraceae,CIRVUL,non-native,0,1,forb,biennial,1,8,0.4,0.5,0.5
"Lobelia siphilitica",Campanulaceae,LOBSIP,native,6,-2,forb,perennial,1,8,0.4,0.5,0.5
"Lonicera tatarica",Caprifoliaceae,LONTAT,non-native,0,1,shrub,perennial,1,8,0.4,0.5,0.5
"Bromus pubescens",Poaceae,BROPUB,native,5,1,grass,perennial,2,3,0.7,0.2,0.5
"Elymus hystrix; hystrix patula",Poaceae,ELYHYS,native,5,1,grass,perennial,2,3,0.7,0.2,0.5
"Geum laciniatum var. trichocarpum; geum laciniatum trichocarpum",Rosaceae,GEULACT,native,2,-1,forb,perennial,1,10,0.4,0.6,0.5
"Smilax lasioneuron; smilax lasioneura",Smilacaceae,SMILAS,native,5,2,vine,perennial,2,5,0.7,0.3,0.5
"Vitis riparia",Vitaceae,VITRIP,native,2,-1,vine,perennial,1,5,0.4,0.3,0.4
"Carex cephalophora",Cyperaceae,CXCEPH,native,3,1,sedge,perennial,1,5,0.4,0.3,0.4
"Viola sororia",Violaceae,VIOSOR,native,3,0,forb,perennial,2,2,0.7,0.1,0.4
"Sanicula odorata; sanicula gregaria",Apiaceae,SANODO,native,2,0,forb,perennial,1,3,0.4,0.2,0.3
"Ageratina altissima; eupatorium rugosum",Asteraceae,AGEALT,native,4,1,forb,perennial,1,3,0.4,0.2,0.3
"Parthenocissus inserta ; parthenocissus inserta",Vitaceae,PARINS,native,1,1,vine,perennial,1,3,0.4,0.2,0.3
"Maianthemum racemosum; smilacina racemosa",Liliaceae,MAIRAC,native,3,1,forb,perennial,1,2,0.4,0.1,0.3
"Thalictrum dioicum",Ranunculaceae,THADIO,native,7,1,forb,perennial,1,1,0.4,0.1,0.3
"Ratibida pinnata",Asteraceae,RATPIN,native,4,2,forb,perennial,1,2,0.4,0.1,0.3
"Sanguinaria canadensis",Papaveraceae,SANCAD,native,6,1,forb,perennial,1,1,0.4,0.1,0.3
"Muhlenbergia mexicana",Poaceae,MUHMEX,native,5,-1,grass,perennial,1,1,0.4,0.1,0.3
